Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,16170,001,Lecture(3),Open,45 / 75
16170,001,Lecture(3),Open,45 / 75,William Leeson+1
16170,001,Lecture(3),Open,45 / 75,William Leeson+1
,15865,001,Lecture(3),Open,245 / 250
15865,001,Lecture(3),Open,245 / 250,Raymond Pettit
15865,001,Lecture(3),Open,245 / 250,Raymond Pettit
16066,002,Lecture(3),Open,142 / 250,Raymond Pettit
16222,003,Lecture(3),Open,146 / 150,Arohi Khargonkar
21027,004,Lecture(3),Closed,30 / 30,Aidan San
15489,101,Laboratory(0),Open,83 / 85,Raymond Pettit
15491,102,Laboratory(0),Open,75 / 85,Raymond Pettit
15492,103,Laboratory(0),Open,82 / 85,Raymond Pettit
15490,104,Laboratory(0),Open,84 / 85,Raymond Pettit
15829,105,Laboratory(0),Open,83 / 85,Raymond Pettit
16068,106,Laboratory(0),Open,56 / 85,Raymond Pettit
16069,107,Laboratory(0),Open,16 / 85,Raymond Pettit
20837,110,Laboratory(0),Open,26 / 30,Raymond Pettit
20838,111,Laboratory(0),Open,28 / 30,Raymond Pettit
20839,112,Laboratory(0),Closed,30 / 30,Raymond Pettit
,16026,001,Lecture(3),Open,85 / 90
16026,001,Lecture(3),Open,85 / 90,Arohi Khargonkar
16026,001,Lecture(3),Open,85 / 90,Arohi Khargonkar
,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15493,001,Lecture(3)
,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15493,001,Lecture(3),Closed
15493,001,Lecture(3),Closed,90 / 90,Nada Basit
19257,002,Lecture(3),Open,89 / 90,Nada Basit
,,Introduction to Python for Scientists and Engineers,20902,001,Lecture(3)
,Introduction to Python for Scientists and Engineers,20902,001,Lecture(3),Closed
20902,001,Lecture(3),Closed,16 / 15,Robert Group
,16851,001,Lecture(4),Open,292 / 300
16851,001,Lecture(4),Open,292 / 300,Briana Morrison
16851,001,Lecture(4),Open,292 / 300,Briana Morrison
16852,002,Lecture(4),Open,149 / 150,Briana Morrison
16853,003,Lecture(4),Open,147 / 150,Derrick Stone
16854,101,Laboratory(0),Open,89 / 90,Briana Morrison
16855,102,Laboratory(0),Open,146 / 150,Briana Morrison
16856,103,Laboratory(0),Open,148 / 150,Briana Morrison
16857,104,Laboratory(0),Open,83 / 90,Briana Morrison
16858,105,Laboratory(0),Open,122 / 150,Briana Morrison
,16718,001,Lecture(3),Open,149 / 150
16718,001,Lecture(3),Open,149 / 150,Elizabeth Orrico
16718,001,Lecture(3),Open,149 / 150,Elizabeth Orrico
16719,002,Lecture(3),Open,159 / 165,Kevin Sullivan
16720,003,Lecture(3),Closed,150 / 150,Elizabeth Orrico
,16922,001,Lecture(4),Open,250 / 257
16922,001,Lecture(4),Open,250 / 257,Daniel Graham
16922,001,Lecture(4),Open,250 / 257,Daniel Graham
16923,002,Lecture(4),Closed,279 / 250,Daniel Graham
16925,101,Laboratory(0),Open,73 / 88,Daniel Graham
16926,102,Laboratory(0),Open,85 / 88,Daniel Graham
16927,103,Laboratory(0),Open,87 / 88,Daniel Graham
16928,104,Laboratory(0),Open,84 / 88,Daniel Graham
16929,105,Laboratory(0),Open,82 / 88,Daniel Graham
16930,106,Laboratory(0),Open,83 / 88,Daniel Graham
19271,107,Laboratory(0),Open,35 / 88,Daniel Graham
,16115,001,PRA(1),Permission,143 / 130
16115,001,PRA(1),Permission,143 / 130,Nada Basit+1
16115,001,PRA(1),Permission,143 / 130,Nada Basit+1
,21293,001,IND(1 - 3),Permission,1 / 1
21293,001,IND(1 - 3),Permission,1 / 1,Tom Horton
21293,001,IND(1 - 3),Permission,1 / 1,Tom Horton
,16919,001,Lecture(3),Open,225 / 260
16919,001,Lecture(3),Open,225 / 260,Robbie Hott
16919,001,Lecture(3),Open,225 / 260,Robbie Hott
16920,002,Lecture(3),Open,165 / 225,Tom Horton
,20115,001,Lecture(3),Open,255 / 300
20115,001,Lecture(3),Open,255 / 300,Mark Floryan
20115,001,Lecture(3),Open,255 / 300,Mark Floryan
,19273,001,Lecture(4),Open,294 / 300
19273,001,Lecture(4),Open,294 / 300,Charles Reiss
19273,001,Lecture(4),Open,294 / 300,Charles Reiss
19274,101,Laboratory(0),Open,75 / 90,Charles Reiss
19275,102,Laboratory(0),Open,104 / 150,Charles Reiss
19276,103,Laboratory(0),Open,56 / 90,Charles Reiss
19277,104,Laboratory(0),Open,47 / 150,Charles Reiss
19278,105,Laboratory(0),Open,12 / 90,Charles Reiss
