Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
19566,001,Lecture(3),Open,53 / 75,Charles Reiss
19566,001,Lecture(3),Open,53 / 75,Charles Reiss
,16253,001,Lecture(3),Open,68 / 90
16253,001,Lecture(3),Open,68 / 90,Robbie Hott
16253,001,Lecture(3),Open,68 / 90,Robbie Hott
,16254,001,Lecture(3),Open,72 / 75
16254,001,Lecture(3),Open,72 / 75,Yangfeng Ji
16254,001,Lecture(3),Open,72 / 75,Yangfeng Ji
16255,002,Lecture(3),Open,66 / 80,Yen-Ling Kuo
,20127,001,Lecture(3),Open,67 / 76
20127,001,Lecture(3),Open,67 / 76,Paul McBurney
20127,001,Lecture(3),Open,67 / 76,Paul McBurney
,16073,001,Lecture(3),Open,74 / 90
16073,001,Lecture(3),Open,74 / 90,Robbie Hott
16073,001,Lecture(3),Open,74 / 90,Robbie Hott
,16257,001,Lecture(3),Open,55 / 85
16257,001,Lecture(3),Open,55 / 85,Haiying Shen
16257,001,Lecture(3),Open,55 / 85,Haiying Shen
,15391,001,Lecture(3),Open,140 / 145
15391,001,Lecture(3),Open,140 / 145,Paul McBurney
15391,001,Lecture(3),Open,140 / 145,Paul McBurney
,15758,001,Lecture(3),Open,42 / 75
15758,001,Lecture(3),Open,42 / 75,Daniel Graham
15758,001,Lecture(3),Open,42 / 75,Daniel Graham
,19567,001,Lecture(3),Open,128 / 135
19567,001,Lecture(3),Open,128 / 135,Rich Nguyen
19567,001,Lecture(3),Open,128 / 135,Rich Nguyen
19568,002,Lecture(3),Open,70 / 75,Chen Chen
,20860,001,Lecture(3),Open,53 / 75
20860,001,Lecture(3),Open,53 / 75,Aaron Bloomfield
20860,001,Lecture(3),Open,53 / 75,Aaron Bloomfield
,15753,001,IND(1 - 3),Permission,0 / 30
15753,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
15753,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
16166,002,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
15726,003,IND(1 - 3),Permission,0 / 30,Matthew Dwyer
15336,004,IND(1 - 3),Permission,0 / 30,David Evans
15337,005,IND(1 - 3),Permission,0 / 30,Mark Floryan
15759,006,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
16200,007,IND(1 - 3),Permission,0 / 30,Tianhao Wang
15763,008,IND(1 - 3),Permission,0 / 30,Nicola Bezzo
15891,009,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
15535,010,IND(1 - 3),Permission,0 / 30,Madhur Behl
15812,011,IND(1 - 3),Permission,0 / 30,Yangfeng Ji
15338,012,IND(1 - 3),Permission,0 / 30,Mohammad Mahmoody
15567,013,IND(1 - 3),Permission,1 / 30,Haiying Shen
15339,014,IND(1 - 3),Permission,0 / 30,Yanjun Qi
15828,015,IND(1 - 3),Permission,1 / 30,Aidong Zhang
16147,016,IND(1 - 3),Permission,0 / 30,Ashish Venkat
15340,017,IND(1 - 3),Permission,5 / 30,Mark Sherriff
15664,019,IND(1 - 3),Permission,0 / 30,Sebastian Elbaum
15668,020,IND(1 - 3),Permission,0 / 30,Samira Khan
15524,021,IND(1 - 3),Permission,0 / 30,Lu Feng
15783,022,IND(1 - 3),Permission,0 / 30,Brad Campbell
16377,023,IND(1 - 3),Permission,0 / 30,Geoffrey Fox
16144,024,IND(1 - 3),Permission,2 / 30,Felix Lin
16120,025,IND(1 - 3),Permission,0 / 30,Briana Morrison
15451,026,IND(1 - 3),Permission,2 / 30,Nada Basit
15796,027,IND(1 - 3),Permission,0 / 30,Seongkook Heo
15804,028,IND(1 - 3),Permission,0 / 30,Madhav Marathe
15711,029,IND(1 - 3),Permission,4 / 30,Rich Nguyen
15805,030,IND(1 - 3),Permission,2 / 30,Kevin Skadron
16358,031,IND(1 - 3),Permission,0 / 30,Jundong Li
16362,032,IND(1 - 3),Permission,0 / 30,Afsaneh Doryab
20835,033,IND(1 - 3),Permission,1 / 30,Rohan Chandra
21010,034,IND(1 - 3),Permission,1 / 30,Denis Nekipelov
21032,035,IND(1 - 3),Permission,1 / 30,Mathews Jacob
