Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,19603,001,Lecture(3),Open,0 / 80
19603,001,Lecture(3),Open,0 / 80,To Be Announced
19603,001,Lecture(3),Open,0 / 80,To Be Announced
,16171,001,Lecture(3),Open,0 / 80
16171,001,Lecture(3),Open,0 / 80,Chang Lou
16171,001,Lecture(3),Open,0 / 80,Chang Lou
,15154,001,Lecture(3),Open,0 / 140
15154,001,Lecture(3),Open,0 / 140,Upsorn Praphamontripong
15154,001,Lecture(3),Open,0 / 140,Upsorn Praphamontripong
,20519,001,Lecture(3),Open,0 / 76
20519,001,Lecture(3),Open,0 / 76,Yu Meng
20519,001,Lecture(3),Open,0 / 76,Yu Meng
,20523,001,Lecture(3),Open,0 / 76
20523,001,Lecture(3),Open,0 / 76,Shangtong Zhang
20523,001,Lecture(3),Open,0 / 76,Shangtong Zhang
,15429,001,Lecture(3),Open,0 / 76
15429,001,Lecture(3),Open,0 / 76,Yanjun Qi
15429,001,Lecture(3),Open,0 / 76,Yanjun Qi
19604,002,Lecture(3),Open,0 / 76,Hadi Daneshmand
,20301,001,PRA(3),Permission,0 / 140
20301,001,PRA(3),Permission,0 / 140,Mark Sherriff
20301,001,PRA(3),Permission,0 / 140,Mark Sherriff
,16013,001,IND(1 - 3),Permission,0 / 30
16013,001,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
16013,001,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
16004,002,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
15499,003,IND(1 - 3),Permission,0 / 30,Seongkook Heo
15867,004,IND(1 - 3),Permission,0 / 30,Tianhao Wang
15526,005,IND(1 - 3),Permission,0 / 30,Jack Davidson
15431,006,IND(1 - 3),Permission,0 / 30,Aidong Zhang
15997,007,IND(1 - 3),Permission,0 / 30,Briana Morrison
15819,008,IND(1 - 3),Permission,0 / 30,Yixin Sun
15542,009,IND(1 - 3),Permission,0 / 30,Rich Nguyen
15036,010,IND(1 - 3),Permission,0 / 30,David Evans
15565,011,IND(1 - 3),Permission,0 / 30,Madhav Marathe
15398,012,IND(1 - 3),Permission,0 / 30,Farzad Hassanzadeh
15700,013,IND(1 - 3),Permission,0 / 30,Tariq Iqbal
15749,014,IND(1 - 3),Permission,0 / 30,Felix Lin
15393,015,IND(1 - 3),Permission,0 / 30,Yangfeng Ji
15578,016,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
15757,017,IND(1 - 3),Permission,0 / 30,Raymond Pettit
