ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1020,100,Lecture,"4","Ashon Crawley","TuTh 12:30pm - 1:45pm","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,178,180,0
10006,AAS,1020,101,Discussion,"0","Basile Koechlin","Tu 6:00pm - 6:50pm","New Cabell Hall 211","Introduction to African-American and African Studies II","",Closed,20,20,0
10005,AAS,1020,102,Discussion,"0","Basile Koechlin","Tu 5:00pm - 5:50pm","Brooks Hall 103","Introduction to African-American and African Studies II","",Open,19,20,0
10004,AAS,1020,103,Discussion,"0","Sean Reid","We 5:00pm - 5:50pm","Wilson Hall 244","Introduction to African-American and African Studies II","",Open,18,20,0
10003,AAS,1020,104,Discussion,"0","Sean Reid","We 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies II","",Closed,20,20,0
10007,AAS,1020,105,Discussion,"0","Basile Koechlin","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies II","",Closed,20,20,0
10002,AAS,1020,106,Discussion,"0","Sean Reid","We 6:00pm - 6:50pm","New Cabell Hall 058","Introduction to African-American and African Studies II","",Closed,20,20,0
12522,AAS,1020,107,Discussion,"0","Allison Mitchell","Tu 4:00pm - 4:50pm","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,20,20,0
12523,AAS,1020,108,Discussion,"0","Allison Mitchell","Tu 5:00pm - 5:50pm","New Cabell Hall 315","Introduction to African-American and African Studies II","",Closed,21,20,0
12524,AAS,1020,109,Discussion,"0","Allison Mitchell","Tu 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Closed,20,20,0
11522,AAS,2224,001,SEM,"3","Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 332","Black Femininities and Masculinities in the US Media","",Closed,20,20,0
11715,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","New Cabell Hall 315","Black Femininities and Masculinities in the US Media","",Open,19,20,0
20097,AAS,2500,001,SEM,"3","Kevin Gaines","MoWe 2:00pm - 3:15pm","Maury Hall 104","Topics Course in Africana Studies","Music, Politics & Social Movements",Open,57,60,0
20098,AAS,2500,002,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","Maury Hall 104","Topics Course in Africana Studies","Introduction to Race, Class & the Environment",Open,45,60,0
20715,AAS,2500,004,SEM,"3","Anne Rotich","MoWeFr 10:00am - 10:50am","New Cabell Hall 485","Topics Course in Africana Studies","Swahili Cultures & Stories",Open,15,16,0
