ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10382,MAE,9999,008,IND,"1 - 12","Chris Goyne","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10410,MAE,9999,009,IND,"1 - 12","Shawn Russell","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10412,MAE,9999,010,IND,"1 - 12","Daniel Quinn","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10385,MAE,9999,011,IND,"1 - 12","Richard Kent","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10415,MAE,9999,012,IND,"1 - 12","Qing Chang","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10421,MAE,9999,013,IND,"1 - 12","Melur Ramasubramanian","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10408,MAE,9999,014,IND,"1 - 12","Keivan Esfarjani","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10551,MAE,9999,015,IND,"1 - 12","Elizabeth Opila","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10547,MAE,9999,016,IND,"1 - 12","Tomonari Furukawa","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10406,MAE,9999,017,IND,"1 - 12","Baoxing Xu","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10401,MAE,9999,018,IND,"1 - 12","Jason Kerrigan","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10396,MAE,9999,019,IND,"1 - 12","Haibo Dong","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10597,MAE,9999,020,IND,"1 - 12","Sarah Sun","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10387,MAE,9999,021,IND,"1 - 12","Eric Loth","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10388,MAE,9999,022,IND,"1 - 12","Haydn Wadley","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10389,MAE,9999,023,IND,"1 - 12","Matthew Reidenbach","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10390,MAE,9999,024,IND,"1 - 12","N. Barker","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10391,MAE,9999,025,IND,"1 - 12","Patrick Hopkins","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10395,MAE,9999,026,IND,"1 - 12","Zongli Lin","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10397,MAE,9999,027,IND,"1 - 12","Gregory Gerling","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,5,0
10403,MAE,9999,028,IND,"1 - 12","Matthew Panzer","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10404,MAE,9999,029,IND,"1 - 12","Xiaodong Li","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10640,MAE,9999,030,IND,"1 - 12","Jason Forman","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10654,MAE,9999,031,IND,"1 - 12","Thomas Ward","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10665,MAE,9999,032,IND,"1 - 12","Frank Lagor","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
10666,MAE,9999,033,IND,"1 - 12","Xinfeng Gao","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
12547,MAE,9999,034,IND,"1 - 12","D Keller","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
10763,MATH,1140,001,Lecture,"3","Monika Abramenko","Sa 10:30am - 12:45pm","New Cabell Hall 303","Financial Mathematics","",Open,7,25,0
10764,MATH,1210,001,Lecture,"3","David Sherman","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 315","A survey of Calculus I","",Open,9,25,0
10865,MATH,1210,002,Lecture,"3","Brianna Kurtz","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","A survey of Calculus I","",Wait List,25,25,8
10765,MATH,1220,001,Lecture,"3","Christian Gromoll","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 395","A Survey of Calculus II","",Open,2,25,0
10767,MATH,1310,001,Lecture,"4","James Bowling","MoTuWeThFr 9:45am - 12:45pm","New Cabell Hall 303","Calculus I","",Open,6,25,0
10768,MATH,1320,001,Lecture,"4","Caelan Wang","Sa 9:45am - 12:45pm","New Cabell Hall 395","Calculus II","",Open,5,25,0
10769,MATH,2310,001,Lecture,"4","Daniel James","MoTuWeThFr 9:45am - 12:45pm","New Cabell Hall 303","Calculus III","",Open,10,25,0
10770,MATH,3100,001,Lecture,"3","Leonid Petrov","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 368","Introduction to Probability","",Open,10,25,0
10771,MATH,3100,002,Lecture,"3","Farzad Shafiei Dizaji","Sa 10:30am - 12:45pm","New Cabell Hall 315","Introduction to Probability","",Open,2,25,0
10847,MATH,4993,001,IND,"1 - 3","Juraj Foldes","TBA","TBA","Independent Study","",Open,0,30,0
10778,MATH,5305,001,Lecture,"3","Evangelos Dimou","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 415","Proofs in Analysis","",Open,0,10,0
10779,MATH,7305,001,Lecture,"3","Kang Lu","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 411","Problems in Analysis","",Open,0,10,0
