ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10005,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 411","Black Femininities and Masculinities in the US Media","",Open,12,16,0
10278,AAS,4993,001,IND,"3","Anne Rotich","TBA","TBA","Independent Study","",Open,1,3,0
12473,AAS,4993,002,IND,"1 - 12","Anne Rotich","TBA","TBA","Independent Study","",Closed,1,1,0
12365,ACCT,3010,701,Lecture,"3","Erica Thompson","Tu 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,24,26,0
12309,ACCT,3020,701,Lecture,"3","Rich Lahijani, -","We 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,7,26,0
12106,ACCT,3140,701,Lecture,"3","Derek Henrichs, -","We 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,1,26,0
12107,ACCT,5110,701,Lecture,"3","Leon Hutton, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,15,26,0
12108,ACCT,5120,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,17,26,0
12109,ACCT,5140,701,Lecture,"3","Derek Henrichs, -","We 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,4,26,0
12312,ACCT,5200,701,Lecture,"3","Gary Brooks, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introduction to Accounting Information Systems","",Open,25,26,0
12110,ACCT,5210,701,Lecture,"3","Richard Evans, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Auditing","",Open,20,26,0
12366,ACCT,5460,701,Lecture,"3","Charles Frazier, -","Mo 6:30pm - 9:30pm","Web-Based Course","Federal Taxation II","",Open,12,26,0
12112,ACCT,5480,701,Lecture,"3","Michael Hood, -","Tu 6:30pm - 9:30pm","Web-Based Course","Corporate Governance and Ethics","",Open,11,26,0
12367,ACCT,5710,701,Lecture,"3","Travis Bartee, -, -, -","Mo 6:30pm - 9:30pm","Web-Based Course","Business Law","",Open,11,26,0
10284,ALAR,5010,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 158","Introduction to Design","",Open,37,50,0
10282,ALAR,5020,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 401","Introduction to Design Visualization","",Open,37,50,0
10283,ALAR,5030,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 160","Introduction to Design Theory and Analysis","",Open,37,50,0
10263,AMST,4993,001,IND,"1 - 3","Penny Von Eschen","TBA","TBA","Independent Study","",Open,0,1,0
12274,ANTH,5589,001,Lecture,"1 - 6","Mary Richardson, Sean Romo","MoTuWeThFr 8:00am - 5:00pm","Contact Department","Selected Topics in Archaeology","Jamestown Archaelogical Field School",Open,15,30,0
12521,ANTH,5589,002,Lecture,"1 - 6","Fraser Neiman","MoTuWeThFr 8:00am - 5:00pm","Contact Department","Selected Topics in Archaeology","Monticello Archaelogical Field School",Open,13,30,0
12522,ANTH,5589,003,Lecture,"1 - 6","Eric Proebsting","MoTuWeThFr 8:00am - 5:00pm","Contact Department","Selected Topics in Archaeology","Poplar Forest Archaelogocial Field School",Open,14,30,0
12736,ANTH,5993,001,IND,"3","Mark Sicoli","TBA","TBA","Independent Studies in Anthropology","",Open,1,30,0
11171,APMA,1090,001,Lecture,"4","Farzad Shafiei Dizaji","MoTuWeThFr 1:00pm - 3:30pm","Web-Based Course","Single Variable Calculus I","",Open,7,15,0
12249,APMA,2120,001,Lecture,"4","Asif Mahmood","MoTuWeThFr 10:00am - 12:30pm","Web-Based Course","Multivariable Calculus","",Open,20,30,0
12250,APMA,2120,002,Lecture,"4","Heze Chen","MoTuWeThFr 10:00am - 12:30pm","Web-Based Course","Multivariable Calculus","",Open,16,30,0
12251,APMA,2130,001,Lecture,"4","Thiwanka Fernando","Sa 11:00am - 1:30pm","Web-Based Course","Ordinary Differential Equations","",Open,19,30,0
10551,APMA,3080,001,Lecture,"3","James Lark","Sa 9:00am - 10:00am","Olsson Hall 001","Linear Algebra","",Open,5,30,0
12252,APMA,3080,002,Lecture,"3","Christian Hellings","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Linear Algebra","",Open,19,30,0
12071,APMA,3100,001,Lecture,"3","Megan Ryals","MoTuWeThFr 10:30am - 12:45pm","Thornton Hall D222","Probability","",Open,9,30,0
12094,APMA,3110,001,Lecture,"3","Deepyaman Maiti","MoTuWeThFr 10:30am - 12:45pm","Olsson Hall 001","Applied Statistics and Probability","",Open,8,30,0
10557,APMA,3120,001,Lecture,"3","James Lark","Sa 10:30am - 11:30am","Olsson Hall 001","Statistics","",Open,5,30,0
12247,APMA,3140,001,Lecture,"3","Thiwanka Fernando","MoTuWeThFr 11:00am - 1:15pm","Web-Based Course","Applied Partial Differential Equations","",Open,19,30,0
12248,APMA,3150,001,Lecture,"3","Diana Morris","Sa 1:00pm - 3:15pm","Web-Based Course","From Data to Knowledge","",Open,14,30,0
10073,ARAB,2016,001,Lecture,"4","Bilal Humeidan, Bilal Maanaki","Sa 10:00am - 3:00pm","Web-Based Course","Intensive Intermediate Arabic","",Open,9,20,0
10074,ARAB,2026,001,Lecture,"4","Bilal Humeidan, Bilal Maanaki","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Intensive Intermediate Arabic","",Open,9,20,0
10077,ARAB,216,001,Lecture,"0","Bilal Humeidan, Bilal Maanaki","Sa 10:00am - 3:00pm","Web-Based Course","Intensive Intermediate Arabic","",Open,0,20,0
10075,ARAB,2256,001,Lecture,"0.5","Bilal Humeidan","Sa 12:00pm - 1:00pm","Web-Based Course","Introduction to Colloquial Arabic I","",Open,9,30,0
10078,ARAB,226,001,Lecture,"0","Bilal Humeidan, Bilal Maanaki","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Intensive Intermediate Arabic","",Open,0,20,0
10076,ARAB,2266,001,Lecture,"0.5","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","Introduction to Colloquial Arabic II","",Open,9,20,0
10079,ARAB,256,001,Lecture,"0","Bilal Humeidan","Sa 12:00pm - 1:00pm","Web-Based Course","Introduction to Levantine Arabic-I","",Open,0,20,0
10080,ARAB,266,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","Introduction to Levantine Arabic-II","",Open,0,20,0
12527,ARAH,5753,001,SEM,"3","-","MoTuWeThFr 8:00am - 8:00pm","Contact Department","Southern History and Material Culture","",Open,8,30,0
12046,ARCH,1031,001,STO,"4","Isaac Mangual Martinez","MoTuWeThFr 1:00pm - 6:00pm","Campbell Hall 305","Summer Foundation Studio I","",Open,4,25,0
12047,ARCH,2011,001,STO,"6","Peter Waldman","Sa 1:00pm - 6:00pm","TBA","Summer Intro to Design Studio","",Open,2,25,0
12048,ARCH,2021,001,STO,"6","Jaime Sanz Haro","MoTuWeThFr 1:00pm - 6:00pm","Campbell Hall 205","Summer Intro to Design Studio 1","",Open,2,25,0
12138,ARTH,2052,001,Lecture,"3","Anastasia Dakouri-Hild","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Ancient Egypt","",Open,19,20,0
12042,ARTH,2470,001,SEM,"3","Christa Robbins","MoTuWeThFr 1:00pm - 3:15pm","Fayerweather Hall 215","Art Now","",Open,3,20,0
12137,ARTH,3254,001,Lecture,"3","Francesca Fiorani","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Leonardo da Vinci","",Open,26,30,0
12139,ARTS,2511,001,STO,"3","James Scheuren","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Special Topics in Photography","Digital Photography",Open,14,20,0
10006,ARTS,2610,1,STO,"3","Akemi Ohira","Sa 10:30am - 12:45pm","Ruffin Hall 203","Drawing I","",Open,10,20,0
12066,ASTR,1210,001,Lecture,"3","Matthew Pryal","Sa 10:30am - 12:45pm","Gilmer Hall 245","Introduction to the Sky and Solar System","",Open,14,25,0
12067,ASTR,1220,001,Lecture,"3","Caroline McCormick","MoTuWeThFr 10:30am - 12:45pm","Chemistry Bldg 306","Introduction to Stars, Galaxies, and the Universe","",Open,12,25,0
12069,ASTR,1250,001,Lecture,"3","Alex Garcia","MoTuWeThFr 1:00pm - 3:15pm","Chemistry Bldg 306","Alien Worlds","",Open,14,25,0
12068,ASTR,1290,001,Lecture,"3","Chase Funkhouser","Sa 1:00pm - 3:15pm","Gilmer Hall 245","Black Holes","",Open,3,25,0
10156,ASTR,9999,001,IND,"1 - 12","Richard Bradley","TBA","TBA","Non-Topical Research","",Open,0,5,0
10157,ASTR,9999,002,IND,"1 - 12","Crystal Brogan","TBA","TBA","Non-Topical Research","",Open,0,5,0
10158,ASTR,9999,003,IND,"1 - 12","Ilse Cleeves","TBA","TBA","Non-Topical Research","",Open,2,5,0
10159,ASTR,9999,004,IND,"1 - 12","Shane Davis","TBA","TBA","Non-Topical Research","",Open,2,5,0
10160,ASTR,9999,005,IND,"1 - 12","Aaron Evans","TBA","TBA","Non-Topical Research","",Open,1,5,0
10161,ASTR,9999,006,IND,"1 - 12","Kelsey Johnson","TBA","TBA","Non-Topical Research","",Open,0,5,0
10162,ASTR,9999,007,IND,"1 - 12","Nitya Kallivayalil","TBA","TBA","Non-Topical Research","",Open,1,5,0
10163,ASTR,9999,008,IND,"1 - 12","Zhi-Yun Li","TBA","TBA","Non-Topical Research","",Open,3,5,0
10164,ASTR,9999,009,IND,"1 - 12","Jeffrey Mangum","TBA","TBA","Non-Topical Research","",Open,0,5,0
10165,ASTR,9999,010,IND,"1 - 12","Adele Plunkett","TBA","TBA","Non-Topical Research","",Open,0,5,0
10166,ASTR,9999,011,IND,"1 - 12","Scott Ransom","TBA","TBA","Non-Topical Research","",Open,0,5,0
10167,ASTR,9999,012,IND,"1 - 12","Craig Sarazin","TBA","TBA","Non-Topical Research","",Open,0,5,0
10168,ASTR,9999,013,IND,"1 - 12","Loreto Barcos-Munoz","TBA","TBA","Non-Topical Research","",Open,0,5,0
10169,ASTR,9999,014,IND,"1 - 12","Roger Chevalier","TBA","TBA","Non-Topical Research","",Open,1,5,0
10170,ASTR,9999,015,IND,"1 - 12","Bradley Johnson","TBA","TBA","Non-Topical Research","",Open,1,5,0
10171,ASTR,9999,016,IND,"1 - 12","Steven Majewski","TBA","TBA","Non-Topical Research","",Open,2,5,0
10172,ASTR,9999,017,IND,"1 - 12","Jonathan Tan","TBA","TBA","Non-Topical Research","",Open,1,5,0
10173,ASTR,9999,018,IND,"1 - 12","Anthony Remijan","TBA","TBA","Non-Topical Research","",Open,0,5,0
10175,ASTR,9999,019,IND,"1 - 12","Eric Murphy","TBA","TBA","Non-Topical Research","",Open,0,5,0
10176,ASTR,9999,020,IND,"1 - 12","John Tobin","TBA","TBA","Non-Topical Research","",Open,1,5,0
12431,ASTR,9999,021,IND,"1 - 12","Paul Torrey","TBA","TBA","Non-Topical Research","",Open,1,5,0
12500,ASTR,9999,022,IND,"1 - 12","Maryam Modjaz","TBA","TBA","Non-Topical Research","",Open,2,5,0
12691,ASTR,9999,023,IND,"1 - 12","George Privon","TBA","TBA","Non-Topical Research","",Open,1,5,0
12694,ASTR,9999,024,IND,"1 - 12","Phil Arras","TBA","TBA","Non-Topical Research","",Open,2,5,0
11464,BIMS,8195,001,IND,"3","Gordon Laurie","TBA","TBA","Biotech Industrial Externship","",Open,0,30,0
11610,BIMS,8993,001,IND,"1 - 12","James Casanova","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11611,BIMS,8993,002,IND,"1 - 12","Ani Manichaikul","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11612,BIMS,8993,003,IND,"1 - 12","ANNA CLIFFE","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11613,BIMS,8993,004,IND,"1 - 12","Zygmunt Derewenda","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11614,BIMS,8993,005,IND,"1 - 12","Marty Mayo","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,2,30,0
11615,BIMS,8993,006,IND,"1 - 12","Tian Zhang","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11616,BIMS,8993,007,IND,"1 - 12","Zhiyi Zuo","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11465,BIMS,8993,008,IND,"1 - 12","Sepideh Dolatshahi","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11617,BIMS,8993,009,IND,"1 - 12","Ira Schulman","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11624,BIMS,8993,010,IND,"1 - 12","Lulu Jiang","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11625,BIMS,8993,011,IND,"1 - 12","Lily Cheng","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11626,BIMS,8993,012,IND,"1 - 12","Nathan Sheffield","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11466,BIMS,8993,013,IND,"1 - 12","Josyf Mychaleckyj","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11467,BIMS,8993,014,IND,"1 - 12","Jochen Zimmer","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,2,30,0
11468,BIMS,8993,015,IND,"1 - 12","Marie-Louise Hammarskjold","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11627,BIMS,8993,016,IND,"1 - 12","Ilya Levental","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11469,BIMS,8993,017,IND,"1 - 12","Jennifer Guler","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11470,BIMS,8993,018,IND,"1 - 12","Jeffrey Smith","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11473,BIMS,8993,019,IND,"1 - 12","Brant Isakson","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11474,BIMS,8993,020,IND,"1 - 12","Daniel Gioeli","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11475,BIMS,8993,021,IND,"1 - 12","Xiaowei Lu","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11476,BIMS,8993,022,IND,"1 - 12","Nadia Lunardi","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11477,BIMS,8993,023,IND,"1 - 12","Aakrosh Ratan","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11478,BIMS,8993,024,IND,"1 - 12","Seham Ebrahim","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11479,BIMS,8993,025,IND,"1 - 12","Wladek Minor","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11480,BIMS,8993,026,IND,"1 - 12","Hao Jiang","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11481,BIMS,8993,027,IND,"1 - 12","David Cafiso","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11482,BIMS,8993,028,IND,"1 - 12","Molly Hughes","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11483,BIMS,8993,029,IND,"1 - 12","Ahmad Jomaa","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11644,BIMS,8993,030,IND,"1 - 12","David Wotton","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11645,BIMS,8993,031,IND,"1 - 12","Hui Li","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11653,BIMS,8993,032,IND,"1 - 12","Elise Cope","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11681,BIMS,8993,033,IND,"1 - 12","Douglas Bayliss","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11682,BIMS,8993,034,IND,"1 - 12","Peter Stukenberg","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0
11683,BIMS,8993,035,IND,"1 - 12","Stefanie Redemann","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11684,BIMS,8993,036,IND,"1 - 12","Edward Perez-Reyes","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,3,30,0
11685,BIMS,8993,037,IND,"1 - 12","Jaeda Coutinho-Budd","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11686,BIMS,8993,038,IND,"1 - 12","Matthew Wolf","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11687,BIMS,8993,039,IND,"1 - 12","Timothy Bullock","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
11688,BIMS,8993,040,IND,"1 - 12","Norbert Leitinger","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,2,30,0
11689,BIMS,8993,041,IND,"1 - 12","Heather Ferris","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,1,30,0
