ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10552,AAS,1020,100,Lecture,"4","Nemata Blyden, Guilherme Lemos","TuTh 12:30pm - 1:45pm","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,156,180,0
10557,AAS,1020,101,Discussion,"0","Guilherme Lemos","Tu 6:00pm - 6:50pm","New Cabell Hall 207","Introduction to African-American and African Studies II","",Open,19,20,0
10556,AAS,1020,102,Discussion,"0","Guilherme Lemos","Tu 5:00pm - 5:50pm","New Cabell Hall 315","Introduction to African-American and African Studies II","",Closed,20,20,0
10555,AAS,1020,103,Discussion,"0","Nathan Frank","We 5:00pm - 5:50pm","New Cabell Hall 291","Introduction to African-American and African Studies II","",Closed,20,20,0
10554,AAS,1020,104,Discussion,"0","Nathan Frank","We 7:00pm - 7:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Open,17,20,0
10558,AAS,1020,105,Discussion,"0","Guilherme Lemos","Tu 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,19,20,0
10553,AAS,1020,106,Discussion,"0","Nathan Frank","We 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Open,14,20,0
12236,AAS,1020,107,Discussion,"0","Chloe Porche","Tu 4:00pm - 4:50pm","New Cabell Hall 032","Introduction to African-American and African Studies II","",Open,19,20,0
12237,AAS,1020,108,Discussion,"0","Chloe Porche","Tu 5:00pm - 5:50pm","New Cabell Hall 338","Introduction to African-American and African Studies II","",Open,19,20,0
12238,AAS,1020,109,Discussion,"0","Chloe Porche","Tu 6:00pm - 6:50pm","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,9,20,0
13083,AAS,2500,001,SEM,"3","Shelby Sinclair","TuTh 2:00pm - 3:15pm","New Cabell Hall 044","Topics Course in Africana Studies","Black Life, Power, and the Archive",Closed,15,15,0
13059,AAS,2500,002,SEM,"3","Liana Richardson","MoWe 5:00pm - 6:15pm","New Cabell Hall 287","Topics Course in Africana Studies","Race, Class & Gender",Open,14,16,0
14317,AAS,2500,004,SEM,"3","Naseemah Mohamed","TuTh 9:30am - 10:45am","New Cabell Hall 315","Topics Course in Africana Studies","African Liberation:Struggles for Freedom",Open,13,18,0
20025,AAS,2559,001,Lecture,"3","Robin Means Coleman","We 4:00pm - 6:30pm","Wilson Hall 238","New Course in African and African American Studies","African Americans in Popular Culture",Closed,15,15,0
21274,AAS,3113,001,Lecture,"3","Robin Means Coleman","Mo 4:00pm - 6:30pm","Wilson Hall 238","Horror Noire: A History of Black Americans in Horror","",Open,12,14,0
14318,AAS,3157,001,SEM,"3","FATIMA SIWAJU","Tu 3:30pm - 6:00pm","New Cabell Hall 211","Caribbean Perspectives","",Open,18,20,0
19102,AAS,3500,001,SEM,"3","Kache Claytor","MoWe 3:30pm - 4:45pm","New Cabell Hall 064","Intermediate Seminar in African-American & African Studies","Race, Gender & Environmental Justice-Latin America",Open,15,16,0
13432,AAS,3500,002,SEM,"3","Nasrin Olla","TuTh 3:30pm - 4:45pm","John W. Warner Hall 110","Intermediate Seminar in African-American & African Studies","Rethinking Race and Gender",Open,3,20,0
13598,AAS,3500,003,SEM,"3","Ashon Crawley","Mo 6:00pm - 8:30pm","New Cabell Hall 303","Intermediate Seminar in African-American & African Studies","Introduction to Black Queer Film",Open,17,20,0
13969,AAS,3500,005,SEM,"3","Kimberly Fields","Tu 3:30pm - 6:00pm","John W. Warner Hall 113","Intermediate Seminar in African-American & African Studies","Race, Class, Politics & the Environoment",Open,25,30,0
13970,AAS,3500,006,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","New Cabell Hall 411","Intermediate Seminar in African-American & African Studies","Environmental Justice Across the Globe",Open,15,20,0
13968,AAS,3500,007,SEM,"3","Michael Carter Jr., Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 303","Intermediate Seminar in African-American & African Studies","Africulture: The African Roots of US Agriculture",Open,23,25,0
13972,AAS,3500,008,SEM,"3","Liana Richardson","We 2:00pm - 4:30pm","New Cabell Hall 207","Intermediate Seminar in African-American & African Studies","Race & Medicine in Post-19th Century America",Open,15,16,0
19105,AAS,3559,001,SEM,"3","Darren Kelly","TuTh 12:30pm - 1:45pm","New Cabell Hall 364","New Course in African and African American Studies","African Americans in Sport",Closed,19,17,0
