ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10269,AAS,1010,100,Lecture,"4","Robert Vinson","TuTh 12:30pm - 1:45pm","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,180,180,0
10273,AAS,1010,102,Discussion,"0","Ryan Russell","We 5:00pm - 5:50pm","New Cabell Hall 058","Introduction to African-American and African Studies I","",Closed,20,20,0
10270,AAS,1010,103,Discussion,"0","Allison Mitchell","Tu 7:00pm - 7:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Closed,20,20,0
10271,AAS,1010,104,Discussion,"0","Sean Reid","Tu 8:00pm - 8:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Open,16,20,0
10274,AAS,1010,105,Discussion,"0","Ryan Russell","We 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Closed,21,20,0
10275,AAS,1010,106,Discussion,"0","Ryan Russell","We 7:00pm - 7:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Open,16,20,0
12961,AAS,1010,107,Discussion,"0","Allison Mitchell","Tu 6:00pm - 6:50pm","New Cabell Hall 168","Introduction to African-American and African Studies I","",Closed,22,20,0
12962,AAS,1010,108,Discussion,"0","Allison Mitchell","Tu 5:00pm - 5:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,21,20,0
12963,AAS,1010,109,Discussion,"0","Sean Reid","We 4:00pm - 4:50pm","New Cabell Hall 315","Introduction to African-American and African Studies I","",Closed,20,20,0
13018,AAS,1010,110,Discussion,"0","Sean Reid","Tu 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to African-American and African Studies I","",Closed,21,20,0
12312,AAS,2224,001,SEM,"3","Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 027","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
12538,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","New Cabell Hall 232","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
18839,AAS,2559,001,SEM,"3","Sabrina Pendergrass","TuTh 11:00am - 12:15pm","New Cabell Hall 411","New Course in African and African American Studies","The Souls of Black Folk",Closed,15,15,0
18831,AAS,3500,001,SEM,"3","Ashon Crawley","We 3:30pm - 6:00pm","Wilson Hall 238","Intermediate Seminar in African-American & African Studies","Introduction to Black Performance Studies",Open,17,20,0
18832,AAS,3500,002,SEM,"3","Janee Moses","TuTh 12:30pm - 1:45pm","Clemons Library 320","Intermediate Seminar in African-American & African Studies","Making a Monster:Race & Monstrosity US Imagination",Open,21,22,0
18833,AAS,3500,003,SEM,"3","Kimberly Fields","Tu 6:30pm - 9:00pm","New Cabell Hall 411","Intermediate Seminar in African-American & African Studies","Environmental Justice Across the Globe",Open,14,20,0
13197,AAS,3500,006,SEM,"3","Kimberly Fields","Tu 3:30pm - 6:00pm","Wilson Hall 238","Intermediate Seminar in African-American & African Studies","Race, Class, Politics & the Environoment",Open,10,11,0
21019,AAS,3500,012,SEM,"3","Liana Richardson","TuTh 9:30am - 10:45am","Contact Department","Intermediate Seminar in African-American & African Studies","Race, Ethnicity, and Health in the US",Open,17,18,0
19788,AAS,3645,001,SEM,"3","Njelle Hamilton","TuTh 2:00pm - 3:15pm","New Cabell Hall 395","Musical Fictions","",Open,10,14,0
13195,AAS,3710,001,SEM,"3","Lisa Shutt","Th 2:00pm - 4:30pm","New Cabell Hall 027","African Worlds through Life Stories","",Open,14,16,0
13196,AAS,3810,001,SEM,"3","Sabrina Pendergrass","TuTh 2:00pm - 3:15pm","New Cabell Hall 056","Race, Culture and Inequality","",Closed,15,15,0
11548,AAS,4070,001,Lecture,"3","Sabrina Pendergrass","TBA","TBA","Directed Reading and Research","",Open,6,10,0
20330,AAS,4570,001,SEM,"3","Njelle Hamilton","TuTh 11:00am - 12:15pm","Dell 1 104","Advanced Research Seminar in African-American & African Studies","Music of the Black Atlantic",Open,8,18,0
20339,AAS,4570,002,SEM,"3","Mahaliah Little","We 3:30pm - 6:00pm","New Cabell Hall 036","Advanced Research Seminar in African-American & African Studies","Southern Gothic Horror in Black Women's Literature",Open,13,16,0
20781,AAS,9710,001,IND,"12","Robert Vinson","TBA","TBA","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,8,20,0
20286,ACCT,2010,701,Lecture,"3","Nammy Lee","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Introductory Accounting I","",Open,5,24,0
