ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19825,LAW,8800,7G,PRA,"2","Sarah Ware","Fr 10:00am - 11:00am","Slaughter Hall 107A","Legal Writing Fellow (YR)","",Closed,3,3,0
19826,LAW,8800,8H,PRA,"2","Joe Fore","Mo 2:10pm - 3:10pm","Slaughter Hall 107B","Legal Writing Fellow (YR)","",Closed,3,3,0
20028,LAW,8800,9I,PRA,"2","Joe Fore","We 10:00am - 11:00am","Slaughter Hall 107","Legal Writing Fellow (YR)","",Closed,3,3,0
20029,LAW,8800,10J,PRA,"2","Donna Buck","Fr 10:00am - 11:00am","Slaughter Hall 107","Legal Writing Fellow (YR)","",Closed,3,3,0
19809,LAW,8802,1,Lecture,"1","Karen Moran","We 8:50am - 9:50am","Brown Hall 104","Graduate Legal Research and Writing I","",Closed,25,25,0
20662,LAW,8802,2,Lecture,"1","Karen Moran","We 2:10pm - 3:10pm","Brown Hall 102","Graduate Legal Research and Writing I","",Open,12,25,0
19789,LAW,8803,1,PRA,"10","A. Ryan","TBA","TBA","FT Externship: Field Experience","",Closed,5,5,0
19790,LAW,8804,1,IND,"3","Julia Mahoney","TBA","TBA","FT Externship: Directed Study","",Closed,1,1,0
20660,LAW,8804,2,IND,"3","A. Ryan","TBA","TBA","FT Externship: Directed Study","",Closed,1,1,0
21128,LAW,8804,3,IND,"3","Thomas Frampton","TBA","TBA","FT Externship: Directed Study","",Closed,1,1,0
21129,LAW,8804,4,IND,"3","Jennifer Givens","TBA","TBA","FT Externship: Directed Study","",Closed,1,1,0
21130,LAW,8804,5,IND,"3","Joy Milligan","TBA","TBA","FT Externship: Directed Study","",Closed,1,1,0
19787,LAW,8806,1,PRA,"3","A. Ryan","TBA","TBA","PT Externship: Field Experience","",Closed,8,8,0
19788,LAW,8807,1,IND,"1","A. Ryan","TBA","TBA","PT Externship: Directed Study","",Closed,8,8,0
19785,LAW,8810,1A,PRA,"1","Saikrishna Prakash","TBA","TBA","Directed Research","",Closed,2,2,0
20012,LAW,8810,1B,PRA,"1","Leslie Kendrick","TBA","TBA","Directed Research","",Closed,1,1,0
20018,LAW,8810,1C,PRA,"1","A. E. Howard","TBA","TBA","Directed Research","",Closed,4,4,0
21516,LAW,8810,1D,PRA,"1","Nelson Sanchez-Leon","TBA","TBA","Directed Research","",Closed,1,1,0
21530,LAW,8810,1E,PRA,"1","George Rutherglen","TBA","TBA","Directed Research","",Open,0,1,0
21778,LAW,8810,1I,PRA,"1","Thomas Frampton","TBA","TBA","Directed Research","",Closed,1,1,0
21558,LAW,8810,1F,PRA,"1","Michael Gilbert","TBA","TBA","Directed Research","",Closed,1,1,0
