ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10350,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 111","Black Femininities and Masculinities in the US Media","",Open,11,12,0
10802,AAS,2500,002,SEM,"3","Joao Batista Nascimento Gregoire","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 315","Topics Course in Africana Studies","Black Brazil",Open,0,18,0
11386,AAS,4559,001,SEM,"3","Scot French","MoTuWeThFr 10:30am - 12:45pm","Contact Department","New Course in African and African American Studies","Morven's Enslaved Communities",Open,6,15,0
11284,ACCT,2020,701,Lecture,"3","Megan Burke, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,1,26,0
11283,ACCT,3010,701,Lecture,"3","Lester Reid","Tu 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,17,26,0
11285,ACCT,3020,701,Lecture,"3","Megan Burke, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,13,26,0
11286,ACCT,3110,701,Lecture,"3","Leon Hutton, -, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,1,26,0
11288,ACCT,3120,701,Lecture,"3","Charlie Yuan","Th 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,2,26,0
10799,ACCT,3140,701,Lecture,"3","Wendy Achilles, -, -, -","We 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,3,26,0
10553,ACCT,4450,701,Lecture,"3","Harvey Hutchinson, -, -","We 6:30pm - 9:30pm","Web-Based Course","Federal Taxation I","",Open,0,26,0
11287,ACCT,5110,701,Lecture,"3","Leon Hutton, -, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,16,26,0
11289,ACCT,5120,701,Lecture,"3","Charlie Yuan","Th 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,9,26,0
10800,ACCT,5140,701,Lecture,"3","Wendy Achilles, -, -, -","We 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,9,26,0
10556,ACCT,5210,701,Lecture,"3","Richard Evans, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Auditing","",Open,14,26,0
10621,ACCT,5450,701,Lecture,"3","Harvey Hutchinson, -, -","We 6:30pm - 9:30pm","Web-Based Course","Federal Taxation I","",Open,8,26,0
11290,ACCT,5460,701,Lecture,"3","NICHOLAS GRANADO, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Federal Taxation II","",Open,10,26,0
10626,ACCT,5480,701,Lecture,"3","Michael Hood, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Corporate Governance and Ethics","",Open,7,26,0
10627,ACCT,5710,701,Lecture,"3","Roger Pao","Mo 1:30am - 1:31am","Web-Based Course-No class mtgs","Business Law","",Open,7,26,0
12273,ALAR,5010,001,Lecture,"1","Bradley Cantrell, Jonah Coe-Scharff, Devin Dobrowolski, Xun Liu, Lauren McQuistion, Jeana Ripple, William Shivers, Ben Small","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 160","Introduction to Design","",Open,48,50,0
