ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12499,AAS,150,1,Lecture,"0","Kwame Otu","MoTuWeTh 11:00am - 12:00pm","Web-Based Course","Special Topics in African American Studies","Africa is People",Open,9,18,0
11290,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Open,18,20,0
11291,AAS,2224,002,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Open,9,20,0
11304,AAS,2559,001,SEM,"3","Kwame Otu","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","New Course in African and African American Studies","Sensing Africa",Open,15,20,0
11305,AAS,2559,002,SEM,"3","Anne Rotich","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","New Course in African and African American Studies","Women Leaders in Africa",Open,4,20,0
10148,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 1:00am - 1:01am","Web-Based Course-No class mtgs","Introductory Accounting I","",Open,21,24,0
10149,ACCT,2010,702,Lecture,"3","Gary Brooks","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Introductory Accounting I","",Open,18,24,0
10150,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Introductory Accounting II","",Open,20,24,0
10151,ACCT,3110,701,Lecture,"3","Leon Hutton","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Intermediate Accounting I","",Open,18,24,0
10152,ACCT,3120,701,Lecture,"3","Nammy Lee","Mo 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Intermediate Accounting II","",Open,10,24,0
10153,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Cost Accounting","",Open,5,24,0
10154,ACCT,4450,701,Lecture,"3","Todd Falcone","We 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Federal Taxation I","",Open,9,24,0
10155,ACCT,5210,701,Lecture,"3","Richard Evans","Th 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Introductory Auditing","",Open,10,24,0
10156,ACCT,5460,701,Lecture,"3","Todd Falcone","Tu 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Federal Taxation II","",Open,16,24,0
10157,ACCT,5480,701,Lecture,"3","Michael Hood","Th 6:30pm - 9:30pm","Web-Based Course-No class mtgs","Corporate Governance and Ethics","",Open,7,24,0
10158,ACCT,5710,701,Lecture,"3","Roger Pao","Mo 1:20am - 1:21am","Web-Based Course-No class mtgs","Business Law","",Open,10,24,0
11338,AMST,2001,001,Lecture,"3","Matthew Hedstrom, Stephen Betts","MoTuWeThFr 10:30am - 11:20am","Web-Based Course","Introduction to American Studies","",Closed,26,30,0
11340,AMST,3559,001,Lecture,"3","Sylvia Chong","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","New Course in American Studies","American Film",Open,21,30,0
12605,AMST,4993,001,IND,"1 - 3","Lisa Cacho","TBA","TBA","Independent Study","",Open,0,1,0
12607,AMST,4993,002,IND,"1 - 3","Lisa Cacho","TBA","TBA","Independent Study","",Open,0,1,0
11958,ANTH,1010,001,Lecture,"3","Anna Eisenstein","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Introduction to Anthropology","",Open,25,35,0
11965,ANTH,1010,002,Lecture,"3","Nichole Fournier","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Introduction to Anthropology","",Open,16,35,0
11966,ANTH,2250,001,Lecture,"3","Karim Mata","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Nationalism, Racism, Multiculturalism","",Open,15,30,0
11956,ANTH,2280,001,Lecture,"3","Anna Eisenstein","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Medical Anthropology","",Open,33,35,0
11967,ANTH,2280,002,Lecture,"3","Richard Karl Deang","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Medical Anthropology","",Open,17,35,0
11979,ANTH,2557,1,Lecture,"3","Mingyun Zhang","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Culture Through Film","",Open,10,30,0
12207,ANTH,2589,100,Lecture,"3","Erin Eaker, Rachel Most","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Topics in Archaeology","The Past, Present, and Future of Humankind",Open,7,40,0
11964,ANTH,3240,001,Lecture,"3","Dionisios Kavadias","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","The Anthropology of Food","",Open,23,30,0
12525,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
12526,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
12527,ANTH,8999,001,IND,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
10397,APMA,2120,001,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:00am - 1:00pm","Web-Based Course","Multivariable Calculus","",Open,51,55,0
11065,APMA,2130,001,Lecture,"4","Julie Spencer","TBA","TBA","Ordinary Differential Equations","",Open,23,35,0
10399,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 9:00am - 10:00am","Web-Based Course","Linear Algebra","",Open,15,35,0
10400,APMA,3100,001,Lecture,"3","Megan Ryals","MoTuWeThFr 10:00am - 12:15pm","Web-Based Course","Probability","",Open,27,35,0
12158,APMA,3100,002,Lecture,"3","Christian Hellings","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Probability","",Open,16,35,0
10996,APMA,3110,001,Lecture,"3","Hui Ma","MoTuWeThFr 10:00am - 12:15pm","Web-Based Course","Applied Statistics and Probability","",Closed,41,45,0
10988,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30am - 11:30am","Web-Based Course","Statistics","",Open,8,35,0
11023,APMA,3340,001,Lecture,"3","Diana Morris","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Complex Variables with Applications","",Open,23,35,0
12063,APMA,5070,001,Lecture,"3","Gianluca Guadagni","MoTuWeThFr 9:00am - 11:00am","Web-Based Course","Numerical Methods","",Open,4,35,0
12138,ARAB,2016,001,Lecture,"4","Bilal Humeidan","MoTuWeThFr 9:00am - 2:30pm","Web-Based Course","Intensive Intermediate Arabic","",Open,6,15,0
12353,ARAB,2026,001,Lecture,"4","Bilal Humeidan","MoTuWeThFr 9:00am - 3:30pm","Web-Based Course","Intensive Intermediate Arabic","",Open,7,15,0
12140,ARAB,216,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 9:00am - 2:30pm","Web-Based Course","Intensive Intermediate Arabic","",Open,2,15,0
12154,ARAB,2256,002,Lecture,"0.5","Bilal Humeidan","TBA","TBA","Introduction to Colloquial Arabic I","",Open,5,15,0
12139,ARAB,226,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 9:00am - 3:30pm","Web-Based Course","Intensive Intermediate Arabic","",Open,2,15,0
12156,ARAB,2266,002,Lecture,"0.5","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","Introduction to Colloquial Arabic II","",Open,6,15,0
12155,ARAB,256,001,Lecture,"0","Bilal Humeidan","TBA","TBA","Introduction to Levantine Arabic-I","",Open,2,15,0
12157,ARAB,266,001,Lecture,"0","Bilal Humeidan","MoTuWeThFr 12:00pm - 1:00pm","Web-Based Course","Introduction to Levantine Arabic-II","",Open,2,15,0
12409,ARAH,5753,001,SEM,"3","Daniel Ackermann","MoTuWeThFr 8:00am - 8:00pm","Contact Department","Southern History and Material Culture","",Open,9,30,0
12606,ARAH,9999,001,IND,"1 - 12","Dorothy Wong","TBA","TBA","Non-Topical Research, Doctoral","",Open,1,8,0
10186,ARCH,1031,001,STO,"4","Kyle Schumann","MoTuWeThFr 1:00pm - 6:00pm","Web-Based Course","Summer Foundation Studio I","",Open,6,20,0
10182,ARCH,2011,001,STO,"6","Peter Waldman","MoTuWeThFr 1:00pm - 6:00pm","Web-Based Course","Summer Intro to Design Studio","",Open,13,20,0
10183,ARCH,2021,001,STO,"6","Jose Ibarra","MoTuWeThFr 9:00am - 2:00pm","Web-Based Course","Summer Intro to Design Studio 1","",Open,11,20,0
10191,ARCH,3500,001,Lecture,"3","Phoebe Crisman","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Architecture","Sustainable Communities & The Global Environment",Open,7,8,0
12057,ARCH,5010,001,Lecture,"1","Devin Dobrowolski, Felipe Correa, Jonah Coe-Scharff, Katie Stranix","MoTuWeThFr 8:30am - 6:00pm","Web-Based Course","Introduction to Architecture","",Open,29,50,0
12058,ARCH,5020,001,WKS,"1","Devin Dobrowolski, Felipe Correa, Jonah Coe-Scharff, Katie Stranix","MoTuWeThFrSaSu 8:00am - 6:00pm","Web-Based Course","Introduction to Design Visualization","",Open,29,50,0
12059,ARCH,5030,001,SEM,"1","Devin Dobrowolski, Felipe Correa, Jonah Coe-Scharff, Katie Stranix","MoTuWeThFrSaSu 8:00am - 6:00pm","Web-Based Course","Architecture Pro Seminar","",Open,29,50,0
10181,ARCH,5422,001,Lecture,"3","Earl Mark","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Computer Animation: Design in Motion","",Open,11,24,0
11977,ARCH,5500,001,Lecture,"3","Phoebe Crisman","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Architecture","Sust Communities & Glob Environment",Closed,2,2,0
11858,ARH,1004,001,Lecture,"3","Dylan Rogers","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","History of Architecture","",Open,15,30,0
11878,ARH,6004,001,Lecture,"3","Dylan Rogers","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","History of Architecture","",Open,15,30,0
11867,ARTH,1004,001,Lecture,"3","Dylan Rogers","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","A History of Architecture","",Open,15,30,0
11341,ARTH,1503,001,Lecture,"3","Eric Ramirez-Weaver","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Art and the Premodern World","Art and Astronomy",Open,10,20,0
11342,ARTH,2559,001,Lecture,"3","Lauren Van Nest","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","New Course in History of Art","Medieval Myths Then & Now",Open,11,20,0
11344,ARTH,3591,001,Lecture,"3","Christa Robbins","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Art History Colloquium","Art Activism",Open,13,20,0
11674,ARTS,2000,001,STO,"3","Matthew Shelton","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Introduction to Studio Art","",Closed,18,18,0
12028,ARTS,2511,001,STO,"3","James Scheuren","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Special Topics in Photography","Digital Photography",Open,10,20,0
12032,ARTS,2560,001,STO,"3","Akemi Ohira","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Special Topics in Printmaking: Works On/Of Paper","Works On Paper",Open,11,20,0
11675,ARTS,2610,001,STO,"3","Matthew Shelton","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Drawing I","",Open,13,18,0
12613,ARTS,4900,001,IND,"1 - 4","William Bennett","TBA","TBA","Advanced Project in Art","",Open,1,30,0
11677,ASTR,1210,001,Lecture,"3","Edward Murphy","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Introduction to the Sky and Solar System","",Open,30,40,0
11679,ASTR,1220,001,Lecture,"3","Daniel Lin","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Introduction to Stars, Galaxies, and the Universe","",Open,17,20,0
