ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11409,MAE,8999,001,IND,"1 - 12","Eric Loth","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11355,MAE,8999,002,IND,"1 - 12","Hilary Bart-Smith","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11358,MAE,8999,003,IND,"1 - 12","Silvia Blemker","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11360,MAE,8999,004,IND,"1 - 12","Harsha Chelliah","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11363,MAE,8999,005,IND,"1 - 12","Chris Goyne","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11365,MAE,8999,006,IND,"1 - 12","Chloe Dedic","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11366,MAE,8999,007,IND,"1 - 12","Richard Kent","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11369,MAE,8999,008,IND,"1 - 12","Qing Chang","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11390,MAE,8999,009,IND,"1 - 12","Haibo Dong","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,10,0
11371,MAE,8999,010,IND,"1 - 12","James McDaniel","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11373,MAE,8999,011,IND,"1 - 12","Pamela Norris","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11391,MAE,8999,012,IND,"1 - 12","Carl Knospe","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11392,MAE,8999,013,IND,"1 - 12","Jason Kerrigan","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11375,MAE,8999,014,IND,"1 - 12","Houston Wood","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11377,MAE,8999,015,IND,"1 - 12","Keivan Esfarjani","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11383,MAE,8999,016,IND,"1 - 12","Jeff Crandall","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11384,MAE,8999,017,IND,"1 - 12","Bradford Bennett","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11385,MAE,8999,018,IND,"1 - 12","Zongli Lin","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11389,MAE,8999,019,IND,"1 - 12","Gavin Garner","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,10,0
11394,MAE,8999,020,IND,"1 - 12","Matthew Panzer","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11397,MAE,8999,021,IND,"1 - 12","Xiaodong Li","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11399,MAE,8999,022,IND,"1 - 12","Robert Salzar","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11401,MAE,8999,023,IND,"1 - 12","Shawn Russell","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11403,MAE,8999,024,IND,"1 - 12","Daniel Quinn","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11408,MAE,8999,025,IND,"1 - 12","Gregory Gerling","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11410,MAE,8999,026,IND,"1 - 12","Patrick Hopkins","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11411,MAE,8999,027,IND,"1 - 12","Lin Ma","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11412,MAE,8999,028,IND,"1 - 12","Baoxing Xu","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11413,MAE,8999,029,IND,"1 - 12","Roger Fittro","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11415,MAE,8999,030,IND,"1 - 12","Tomonari Furukawa","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,0,30,0
12629,MAE,8999,031,IND,"1 - 12","Sarah Sun","TBA","TBA","Master's Thesis Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11356,MAE,9999,002,IND,"1 - 12","Hilary Bart-Smith","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11357,MAE,9999,003,IND,"1 - 12","Robert Salzar","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11405,MAE,9999,004,IND,"1 - 12","Lin Ma","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11359,MAE,9999,005,IND,"1 - 12","Silvia Blemker","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11361,MAE,9999,006,IND,"1 - 12","Harsha Chelliah","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11362,MAE,9999,007,IND,"1 - 12","Jeff Crandall","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11364,MAE,9999,008,IND,"1 - 12","Chris Goyne","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,5,30,0
11402,MAE,9999,009,IND,"1 - 12","Shawn Russell","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11404,MAE,9999,010,IND,"1 - 12","Daniel Quinn","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11367,MAE,9999,011,IND,"1 - 12","Richard Kent","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11368,MAE,9999,012,IND,"1 - 12","Carl Knospe","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11370,MAE,9999,013,IND,"1 - 12","Roger Fittro","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11400,MAE,9999,014,IND,"1 - 12","Keivan Esfarjani","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11372,MAE,9999,015,IND,"1 - 12","James McDaniel","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11374,MAE,9999,016,IND,"1 - 12","Pamela Norris","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11398,MAE,9999,017,IND,"1 - 12","Baoxing Xu","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,3,30,0
11393,MAE,9999,018,IND,"1 - 12","Jason Kerrigan","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,3,30,0
11387,MAE,9999,019,IND,"1 - 12","Haibo Dong","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,5,30,0
11376,MAE,9999,020,IND,"1 - 12","Houston Wood","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
