ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10003,AAS,1010,100,Lecture,"4","Robert Vinson, Naseemah Mohamed","TuTh 12:30pm - 1:45pm","Minor Hall 125","Introduction to African-American and African Studies I","",Open,0,180,0
12774,AAS,1010,101,Discussion,"0","To Be Announced","We 6:00pm - 6:50pm","New Cabell Hall 283","Introduction to African-American and African Studies I","",Open,0,20,0
10006,AAS,1010,102,Discussion,"0","To Be Announced","We 5:00pm - 5:50pm","New Cabell Hall 287","Introduction to African-American and African Studies I","",Open,0,20,0
10004,AAS,1010,103,Discussion,"0","To Be Announced","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,0,20,0
10005,AAS,1010,104,Discussion,"0","To Be Announced","Tu 8:00pm - 8:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,0,20,0
10007,AAS,1010,105,Discussion,"0","To Be Announced","We 6:00pm - 6:50pm","New Cabell Hall 287","Introduction to African-American and African Studies I","",Open,0,20,0
10008,AAS,1010,106,Discussion,"0","To Be Announced","We 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to African-American and African Studies I","",Open,0,20,0
11700,AAS,1010,107,Discussion,"0","To Be Announced","Tu 6:00pm - 6:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,0,20,0
11701,AAS,1010,108,Discussion,"0","To Be Announced","Tu 5:00pm - 5:50pm","New Cabell Hall 485","Introduction to African-American and African Studies I","",Open,0,20,0
11702,AAS,1010,109,Discussion,"0","To Be Announced","We 7:00pm - 7:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Open,0,20,0
19866,AAS,2210,001,SEM,"3","Anne Rotich","MoWeFr 1:00pm - 1:50pm","New Cabell Hall 111","Introduction to African Literatures & Cultures","",Open,0,18,0
19843,AAS,2220,001,Lecture,"3","Kimberly Fields","We 3:30pm - 6:00pm","John W. Warner Hall 110","Introduction to Race, Class, Politics & the Environment","",Open,0,30,0
19842,AAS,2240,001,Lecture,"3","Nemata Blyden","Tu 2:00pm - 4:30pm","New Cabell Hall 395","Africans in America","",Open,0,20,0
13334,AAS,2500,001,SEM,"3","Sabrina Pendergrass","TuTh 11:00am - 12:15pm","New Cabell Hall 209","Topics Course in Africana Studies","Race and Place in African American Life",Open,0,15,0
12773,AAS,2500,002,SEM,"3","Kache Claytor","TuTh 2:00pm - 3:15pm","New Cabell Hall 056","Topics Course in Africana Studies","Black Latin America through Film & Performance",Open,0,16,0
13335,AAS,2500,003,SEM,"3","Alexandria Smith","TuTh 11:00am - 12:15pm","New Cabell Hall 364","Topics Course in Africana Studies","Black Genders",Open,0,30,0
13336,AAS,2500,004,SEM,"3","Alexandria Smith","TuTh 12:30pm - 1:45pm","New Cabell Hall 364","Topics Course in Africana Studies","Black Bodies in Literature",Open,0,30,0
20235,AAS,2657,001,SEM,"3","Njelle Hamilton","MoWe 3:30pm - 4:45pm","New Cabell Hall 395","Routes, Writing, Reggae","",Open,0,20,0
19847,AAS,3310,001,Lecture,"3","Kimberly Fields","Tu 6:00pm - 8:30pm","New Cabell Hall 303","Environmental Justice in the Mid-Atlantic Region","",Open,0,20,0
13230,AAS,3500,001,SEM,"3","Shelby Sinclair","We 2:00pm - 4:30pm","New Cabell Hall 115","Intermediate Seminar in African-American & African Studies","The US in the Caribbean",Open,0,16,0
20410,AAS,3500,002,SEM,"3","FATIMA SIWAJU","Tu 2:00pm - 4:30pm","New Cabell Hall 315","Intermediate Seminar in African-American & African Studies","Race, Religion & Citizenship",Open,0,17,0
13759,AAS,3500,003,SEM,"3","Guilherme Lemos","TuTh 9:30am - 10:45am","New Cabell Hall 594","Intermediate Seminar in African-American & African Studies","Afro-Brazilian History",Open,0,16,0
19858,AAS,3559,001,SEM,"3","Salma Mutwafy","TuTh 9:30am - 10:45am","New Cabell Hall 027","New Course in African and African American Studies","Perspectives on Africa's Economic Development",Open,0,20,0
19849,AAS,3745,001,SEM,"3","Njelle Hamilton","MoWe 2:00pm - 3:15pm","New Cabell Hall 395","Currents in African Literature","",Open,0,24,0
19841,AAS,3750,001,Lecture,"3","Nemata Blyden","TuTh 12:30pm - 1:45pm","New Cabell Hall 332","Women in African History","",Open,0,28,0
19859,AAS,3770,001,SEM,"3","Ashleigh Wade","Mo 3:30pm - 6:00pm","New Cabell Hall 485","Black Girlhood & the Media","",Open,0,30,0
19856,AAS,3810,001,SEM,"3","Sabrina Pendergrass","Th 2:00pm - 4:30pm","New Cabell Hall 044","Race, Culture and Inequality","",Open,0,15,0
13222,AAS,3853,001,Lecture,"3","Andrew Kahrl","MoWe 12:00pm - 12:50pm","Clark Hall 108","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,60,0
13223,AAS,3853,101,Discussion,"0","To Be Announced","Th 5:00pm - 5:50pm","New Cabell Hall 338","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
13224,AAS,3853,102,Discussion,"0","To Be Announced","Th 6:00pm - 6:50pm","New Cabell Hall 338","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
13225,AAS,3853,103,Discussion,"0","To Be Announced","Th 7:00pm - 7:50pm","Gibson Hall 141","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
13226,AAS,3853,104,Discussion,"0","To Be Announced","Fr 10:00am - 10:50am","New Cabell Hall 389","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
13227,AAS,3853,105,Discussion,"0","To Be Announced","Fr 11:00am - 11:50am","Gilmer Hall 247","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
13228,AAS,3853,106,Discussion,"0","To Be Announced","Fr 12:00pm - 12:50pm","Gilmer Hall 247","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
14042,AAS,3853,107,Discussion,"0","To Be Announced","Fr 12:00pm - 12:50pm","New Cabell Hall 411","From Redlined to Subprime: Race and Real Estate in the US","",Open,0,20,0
10929,AAS,4070,001,Lecture,"3","Kimberly Fields","TBA","TBA","Distinguished Major Thesis I","",Open,0,10,0
13742,AAS,4501,001,SEM,"4","Andrew Kahrl","Mo 2:00pm - 4:30pm","New Cabell Hall 068","Advanced Research Seminar in History & AAS","Black Metropolis: African Americans & the City",Open,0,15,0
13744,AAS,4570,001,SEM,"3","Ashon Crawley","Mo 6:00pm - 8:30pm","New Cabell Hall 027","Advanced Research Seminar in African-American & African Studies","Black Performance Theory",Open,0,20,0
12451,AAS,9710,001,IND,"12","Robert Vinson","TBA","TBA","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,0,20,0
14596,AIRS,100,001,Laboratory,"0","Glen Gilson, -, Zachary Jones","Tu 3:30pm - 5:30pm","Minor Hall 125","Leadership Laboratory","",Open,0,100,0
14591,AIRS,1100,001,Lecture,"1","Kevin Bibb","Tu 1:00pm - 1:50pm","Clark Hall 108","Air Force Heritage and Values I","",Open,0,40,0
14592,AIRS,1100,002,Lecture,"1","Kevin Bibb","We 1:00pm - 1:50pm","Shannon House 107","Air Force Heritage and Values I","",Open,0,20,0
14593,AIRS,2100,001,Lecture,"1","David Gupton, -","Tu 2:00pm - 2:50pm","John W. Warner Hall 113","Team and Leadership Fundamentals I","",Open,0,30,0
14594,AIRS,2100,002,Lecture,"1","David Gupton, -","We 2:00pm - 2:50pm","Shannon House 107","Team and Leadership Fundamentals I","",Open,0,35,0
14597,AIRS,3100,001,Lecture,"3","Glen Gilson, -","Tu 2:00pm - 2:50pm","Shannon House 107","Leading People and Effective Communication I","",Open,0,25,0
14598,AIRS,3100,002,Lecture,"3","Glen Gilson, -","Mo 1:00pm - 3:00pm","Shannon House 107","Leading People and Effective Communication I","",Open,0,15,0
14595,AIRS,4100,001,Lecture,"3","Jason Bell, -, Michael Hough","Tu 12:30pm - 3:00pm","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,0,20,0
14599,AIRS,4100,002,Lecture,"3","Jason Bell, -, Michael Hough","We 2:00pm - 4:30pm","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,0,20,0
17802,ALAR,5203,001,Lecture,"3","William Sherman","Fr 9:00am - 11:30am","Campbell Hall 425","Building Venice","",Open,0,20,0
17801,ALAR,5403,001,Lecture,"3","Erin Putalik","Tu 9:30am - 12:00pm","Campbell Hall 405","Venice: City and Landscape","",Open,0,20,0
17598,ALAR,8010,001,STO,"6","To Be Announced","TuTh 12:30pm - 5:00pm","Campbell Hall 401","Research Studio 1","",Open,0,100,0
17726,ALAR,8100,001,SEM,"3","Nana Last","Mo 3:30pm - 6:00pm","Campbell Hall 220C","Thesis I","",Open,0,25,0
10546,AMST,2001,100,Lecture,"3","Fiona Ngo, Ruby Tapia","MoWe 1:00pm - 1:50pm","John W. Warner Hall 209","Introduction to American Studies","",Open,0,180,0
11100,AMST,2001,101,Discussion,"0","To Be Announced","We 5:00pm - 5:50pm","Wilson Hall 244","Introduction to American Studies","",Open,0,20,0
11101,AMST,2001,102,Discussion,"0","To Be Announced","We 6:00pm - 6:50pm","Wilson Hall 244","Introduction to American Studies","",Open,0,20,0
