ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10101,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:00am - 3:00pm","New Cabell Hall 332","Black Femininities and Masculinities in the US Media","",Open,11,15,0
10142,ARTS,2000,001,STO,"3","Amy Chan","MoTuWeThFr 10:00am - 3:00pm","Ruffin Hall 203","Introduction to Studio Art","",Open,12,20,0
10143,ARTS,2560,001,STO,"3","Akemi Ohira","MoTuWeThFr 10:00am - 3:00pm","Ruffin Hall 220","Special Topics in Printmaking: Works On/Of Paper","Works On Paper",Closed,12,20,0
10176,CHEM,3951,001,IND,"1 - 3","Laura Serbulea","TBA","TBA","Undergraduate Research I","",Open,1,10,0
10187,CHIN,4993,001,IND,"1 - 3","Charles Laughlin","TBA","TBA","Independent Study in Chinese","",Closed,1,1,0
10182,COMM,4579,502,Lecture,"3","Robert Webb","Mo 4:00am - 6:30am","International Study Program","Global Commerce Immersion: Topics in Finance","AsnFinCap-Singapore/KualaLumpur",Open,24,30,0
10122,DS,4002,001,Lecture,"3","Brian Wright","MoTuWeThFr 10:00am - 2:00pm","Web-Based Course","Data Science Project Course","",Open,20,25,0
10111,EDIS,9991,001,IND,"1 - 12","April Salerno","TBA","TBA","Ed.D. Research","",Open,0,10,0
10163,ENCW,4830,001,WKS,"3","Lisa Spaar","MoTuWeThFr 10:00am - 3:00pm","New Cabell Hall 211","Advanced Poetry Writing I","",Closed,15,12,0
10087,ENGL,1910,001,Lecture,"3","Margaret Gardiner","MoTuWeThFr 8:00am - 2:00pm","New Cabell Hall 383","Public Speaking","",Closed,14,18,0
10175,ENWR,2377,001,SEM,"3","Stephen Parks, Srda Popovic","MoTuWeThFr 10:00am - 4:30pm","New Cabell Hall 415","Rebuilding (and Expanding) Democracy: A Workshop With Global Advocates","",Open,4,14,0
10181,EVSC,4050,001,Lecture,"3","Stephen Macko","MoTuWeThFr 10:00am - 3:00pm","Clark Hall G004","Topics in Oceanography","",Open,14,20,0
10131,GBUS,7210,001,Lecture,"1.5","Brian Moriarty","MoWeTh 8:00am - 9:25am","-","Leadership Communication","",Open,0,50,0
10132,GBUS,7210,002,Lecture,"1.5","Marc Modica","MoWeTh 8:00am - 9:25am","-","Leadership Communication","",Open,0,50,0
10136,GBUS,8058,001,Lecture,"1.5","TBA","TBA","TBA","Disruption, Response, and Transformation","",Open,0,72,0
10133,GBUS,8156,001,Lecture,"1.5","Morela Hernandez","MoTuWeThFr 8:00am - 5:00pm","-","Creating a New Normal","",Open,0,50,0
10125,GBUS,8439,001,Lecture,"1.5","TBA","TBA","TBA","Leadership and Cultures of Trust & Innovation","",Open,0,65,0
10135,GBUS,8500,001,Lecture,"1.5","Scott Beardsley","MoTuWeThFr 10:00am - 4:10pm","Darden Classroom Bldg Room 290","Special Topics Seminar","The CEO in the 21st Century",Open,57,72,0
10130,GBUS,8517,001,Lecture,"1.5","Marc Modica","TBA","TBA","Addressing Tough Problems in Business and Society-India","",Open,0,50,0
10127,GBUS,8620,001,Lecture,"1.5","Kim Whitler","MoTuWeThFr 8:00am - 5:00pm","-","Brand Management: Creative, Testing & Analyzing New Brand Strategies","",Open,0,75,0
10128,GBUS,8633,001,Lecture,"1.5","Alexander Cowan","MoTuWeThFr 10:00am - 5:00pm","Darden Classroom Bldg Room I-L","Software Development","",Open,11,120,0
10129,GBUS,8645,001,Lecture,"1.5","Paul Simko, June West","MoTuWeThFr 8:00am - 5:00pm","-","Honor the Trad of Past While Confront the Chall of the Future-Dubai/Bahrain","",Open,0,50,0
10134,GBUS,8698,001,IND,"1","Timothy Laseter","TBA","TBA","Global Client Projects II","",Open,12,50,0
10126,GBUS,8721,001,Lecture,"1.5","Shane Dikolli","TBA","TBA","Australia-Local Culture and International Business Expansion","",Open,0,50,0
10082,HIST,2013,001,SEM,"3","Jeffrey Rossman","MoTuWeThFr 12:00pm - 4:00pm","Web-Based Course","Why Did They Kill? Interpreting Genocide and Its Perpetrators","",Closed,19,20,0
10164,ISBU,3760,101,Lecture,"3","Russell Linden, -","MoTuWeThFr 6:00pm - 10:00pm","Web-Based Course","Issues in Leadership","",Open,11,12,0
10073,ISBU,3773,101,Lecture,"3","Mary Repass","MoTuWeThFr 6:00pm - 10:00pm","Web-Based Course","Navigating Cultural Differences within Global Businesses","",Open,4,12,0
10070,ISHU,3860,101,Lecture,"3","Luke Wright","Mo 12:09am - 12:10am","Web-Based Course-No class mtgs","Faith and Doubt","",Open,19,25,0
10138,ISSS,3760,101,Lecture,"3","Russell Linden, -","MoTuWeThFr 6:00pm - 10:00pm","Web-Based Course","Issues in Leadership","",Open,11,13,0
10072,ISSS,3773,101,Lecture,"3","Mary Repass","MoTuWeThFr 6:00pm - 10:00pm","Web-Based Course","Navigating Cultural Differences within Global Businesses","",Open,7,13,0
10150,KRTR,3559,001,Lecture,"3","YOON HWA CHOI","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","New Course in Korean in Translation","Korean Language and Culture",Open,18,20,0
10012,LAW,7501,1,Lecture,"1","Charles Barzun, David Plunkett","TuWeThFr 1:00pm - 4:00pm","Brown Hall 278","Special Topics in Law Short Course (SC)","Social Identity, Critical Theory, and the Law (SC)",Open,6,14,0
10030,LAW,7602,1,SEM,"1","Michal Barzuza","TuWeThFr 9:00am - 12:00pm","Brown Hall 129","Rise of ESG in Corporate Law and Governance (SC)","",Open,9,16,0
10024,LAW,7608,1,Lecture,"1","Josh Bowers","TuWeThFr 9:00am - 12:00pm","Brown Hall 162","Plea Bargaining (SC)","",Open,12,16,0
10028,LAW,7610,1,Lecture,"1","Marie Gore, Malik Laazouzi","MoTuWeThFr 9:00am - 11:00am","Contact Department","French Public and Private Law (SC)","",Open,15,20,0
10023,LAW,7633,1,SEM,"1","Naomi Cahn, Sharon Shakargy","TuWeThFr 9:00am - 12:00pm","Brown Hall 103","International and Comparative Family Law (SC)","",Open,8,14,0
10029,LAW,7637,1,Lecture,"2","Stephen Saltzburg","MoTuWeThSaSu 8:00am - 6:00pm","Brown Hall 152","Trial Advocacy College (SC)","",Open,36,50,0
10006,LAW,7645,1,Lecture,"1","John Setear","TuWeThFr 1:00pm - 4:00pm","Brown Hall 162","Baseball (SC)","",Open,5,16,0
10014,LAW,7647,1,Lecture,"1","Michael Gilbert, Abraham Sutherland","TuWeThFr 1:00pm - 4:00pm","Brown Hall 121","Cryptocurrency Law and Policy (SC)","",Open,7,16,0
10022,LAW,7664,1,Lecture,"1","Pierre-Hugues Verdier","TuWeThFr 1:00pm - 4:00pm","Brown Hall 127","War by Other Means: The Law of Economic and Financial Sanctions (SC)","",Open,4,16,0
10018,LAW,7665,1,SEM,"1","Aditya Bamzai","TuWeThFr 9:00am - 12:00pm","Brown Hall 127","Advanced Administrative Law (SC)","",Open,6,16,0
10025,LAW,7690,1,Lecture,"1","Walter McGough, Margaret Riley","TuWeThFr 1:00pm - 4:00pm","Brown Hall 119","Health Care Marketplace: Competition, Regulation, and Reform (SC)","",Open,5,15,0
10002,LAW,7692,1,Lecture,"1","Stephanie Cagniart, Paul Devamithran, Molly Shadel","TuWeThFr 9:00am - 12:00pm","Slaughter Hall 290","Persuasion (SC)","",Open,17,30,0
10027,LAW,7695,1,SEM,"1","Morgan Zurn","TuWeThFr 9:00am - 12:00pm","Brown Hall 121","Corporate Litigation in the Delaware Court of Chancery (SC)","",Open,9,16,0
10003,LAW,7702,1,Lecture,"1","Quinn Curtis, Rob Masri","TuWeThFr 9:00am - 12:00pm","Brown Hall 119","Legal Practice and the Startup Company: An Inside Look (SC)","",Open,12,16,0
10015,LAW,7713,1,Lecture,"1","Cynthia Nicoletti","TuWeThFr 1:00pm - 4:00pm","Brown Hall 129","Federalism (SC)","",Open,8,15,0
10026,LAW,7738,1,Lecture,"2","Dotan Oliar","MoTuWeThFrSaSu 8:00am - 5:00pm","Contact Department","Israeli Business Law and Innovation (SC)","",Open,11,16,0
10005,LAW,7788,1,Lecture,"1","Jed Rakoff","TuWeThFr 9:00am - 12:00pm","Brown Hall 114","Science and the Courts (SC)","",Open,10,16,0
10009,LAW,7797,1,Lecture,"1","Andrew Hayashi, Howard Wachtel","TuWeThFr 9:00am - 12:00pm","Slaughter Hall 284","Economic Statecraft and Public International Law (SC)","",Open,5,14,0
10010,LAW,7805,1,SEM,"1","Andrew Oldham, Amul Thapar","TuWeTh 9:00am - 9:50am","Slaughter Hall 366","Founders and Foes (SC)","",Open,6,12,0
10153,LPPP,3500,001,Lecture,"3","Christine Mahoney","MoTuWeThFr 9:00am - 4:00pm","Contact Department","Special Topics in Social Entrepreneurship","Impact Investing in Action: Appalachia",Open,17,20,0
10170,LPPP,5500,001,SEM,"3","Christine Mahoney","MoTuWeThFr 9:00am - 4:00pm","Contact Department","Special Topics","Impact Investing in Action: Appalachia",Open,2,5,0
10119,LPPS,3440,001,Lecture,"3","Brendan Boler","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Intro to Mngmt Consulting & Strategic Decision Making","",Open,29,55,0
10121,LPPS,5440,001,Lecture,"3","Brendan Boler","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Intro to Management Consulting and Strategic Decision Making","",Closed,6,5,0
