ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10002,AAS,1010,100,Lecture,"4","Nemata Blyden","TuTh 12:30pm - 1:45pm","Minor Hall 125","Introduction to African-American and African Studies I","",Open,178,180,0
13840,AAS,1010,101,Discussion,"0","Charles Brown","We 3:00pm - 3:50pm","New Cabell Hall 207","Introduction to African-American and African Studies I","",Closed,20,20,0
10005,AAS,1010,102,Discussion,"0","Charles Brown","We 5:00pm - 5:50pm","Wilson Hall 214","Introduction to African-American and African Studies I","",Closed,20,20,0
10003,AAS,1010,103,Discussion,"0","Chloe Porche","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,19,20,0
10004,AAS,1010,104,Discussion,"0","Chloe Porche","Tu 8:00pm - 8:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
10006,AAS,1010,105,Discussion,"0","Gramond McPherson","We 6:00pm - 6:50pm","New Cabell Hall 283","Introduction to African-American and African Studies I","",Closed,20,20,0
10007,AAS,1010,106,Discussion,"0","Gramond McPherson","We 7:00pm - 7:50pm","New Cabell Hall 283","Introduction to African-American and African Studies I","",Closed,20,20,0
12049,AAS,1010,107,Discussion,"0","Chloe Porche","Tu 6:00pm - 6:50pm","New Cabell Hall 115","Introduction to African-American and African Studies I","",Open,19,20,0
12050,AAS,1010,108,Discussion,"0","Gramond McPherson","Tu 5:00pm - 5:50pm","New Cabell Hall 268","Introduction to African-American and African Studies I","",Closed,20,20,0
12051,AAS,1010,109,Discussion,"0","Charles Brown","We 4:00pm - 4:50pm","New Cabell Hall 207","Introduction to African-American and African Studies I","",Closed,20,20,0
21480,AAS,1559,001,SEM,"1 - 4","To Be Announced","MoWe 3:05pm - 4:20pm","TBA","New Course in African and African American Studies","",Open,0,30,0
11659,AAS,2224,001,SEM,"3","Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 111","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
13827,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","New Cabell Hall 107","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
13830,AAS,2500,001,SEM,"3","Sabrina Pendergrass","TuTh 11:00am - 12:15pm","Gibson Hall 241","Topics Course in Africana Studies","The Souls of Black Folk",Closed,15,15,0
13833,AAS,2500,002,SEM,"3","Anne Rotich","MoWeFr 1:00pm - 1:50pm","Wilson Hall 238","Topics Course in Africana Studies","Introduction to African Languages and Literatures",Open,19,20,0
21028,AAS,2500,006,SEM,"3","FATIMA SIWAJU","TuTh 12:30pm - 1:45pm","Monroe Hall 113","Topics Course in Africana Studies","Introduction to Afro-Latin America",Closed,10,10,0
21036,AAS,2500,008,SEM,"3","Alexandria Smith","TuTh 12:30pm - 1:45pm","Shannon House 119","Topics Course in Africana Studies","Introduction to Life Writing in the Black Diaspora",Open,12,18,0
21037,AAS,2500,009,SEM,"3","Alexandria Smith","TuTh 2:00pm - 3:15pm","Shannon House 119","Topics Course in Africana Studies","Black Genders",Open,6,18,0
12917,AAS,3500,001,SEM,"3","Liana Richardson","TuTh 9:30am - 10:45am","New Cabell Hall 407","Intermediate Seminar in African-American & African Studies","Race, Ethnicity, and Health in the US",Open,17,18,0
12196,AAS,3500,002,SEM,"3","Ayodeji Ogunnaike","Mo 3:30pm - 6:00pm","Ridley Hall 125","Intermediate Seminar in African-American & African Studies","Brazil and Yoruba Religions",Open,3,15,0
19705,AAS,3500,003,SEM,"3","Amber M. Henry","Tu 6:00pm - 8:30pm","New Cabell Hall 309","Intermediate Seminar in African-American & African Studies","Black and Indigenous Power in the Americas",Open,14,22,0
19709,AAS,3500,005,SEM,"3","Liana Richardson","TuTh 12:30pm - 1:45pm","Wilson Hall 238","Intermediate Seminar in African-American & African Studies","The Health of Black Women & Children",Open,15,16,0
12194,AAS,3710,001,SEM,"3","Lisa Shutt","Th 2:00pm - 4:30pm","John W. Warner Hall 113","African Worlds through Life Stories","",Open,15,16,0
20352,AAS,3760,001,Lecture,"3","Ashleigh Wade","TuTh 9:30am - 10:45am","New Cabell Hall 332","Reading Black Digital Culture","",Closed,15,15,0
12195,AAS,3810,001,SEM,"3","Sabrina Pendergrass","TuTh 2:00pm - 3:15pm","New Cabell Hall 044","Race, Culture and Inequality","",Open,14,15,0
19624,AAS,3853,100,Lecture,"3","Andrew Kahrl","MoWe 9:00am - 9:50am","Wilson Hall 301","From Redlined to Subprime: Race and Real Estate in the US","",Open,52,60,0
19625,AAS,3853,101,Discussion,"0","Bethany McGlyn","We 4:00pm - 4:50pm","New Cabell Hall 209","From Redlined to Subprime: Race and Real Estate in the US","",Open,18,20,0
19626,AAS,3853,102,Discussion,"0","Bethany McGlyn","We 5:00pm - 5:50pm","New Cabell Hall 209","From Redlined to Subprime: Race and Real Estate in the US","",Open,19,20,0
19627,AAS,3853,103,Discussion,"0","Bethany McGlyn","We 6:00pm - 6:50pm","New Cabell Hall 191","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19628,AAS,3853,104,Discussion,"0","Justin Winokur","Th 7:00pm - 7:50pm","New Cabell Hall 207","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19629,AAS,3853,105,Discussion,"0","Justin Winokur","Th 5:00pm - 5:50pm","New Cabell Hall 115","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19630,AAS,3853,106,Discussion,"0","Justin Winokur","Th 6:00pm - 6:50pm","New Cabell Hall 287","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
11071,AAS,4070,001,Lecture,"3","Sabrina Pendergrass","TBA","TBA","Distinguished Major Thesis I","",Open,0,10,0
20147,AAS,4570,002,SEM,"3","Ashon Crawley","We 3:30pm - 6:00pm","John W. Warner Hall 113","Advanced Research Seminar in African-American & African Studies","Black Performance Theory",Open,12,20,0
21244,AAS,4993,001,IND,"1 - 12","Derrick Alridge","TBA","TBA","Independent Study","",Closed,1,1,0
19713,AAS,7000,001,SEM,"3","Nasrin Olla","Mo 3:30pm - 6:00pm","John W. Warner Hall 110","Introduction to Africana Studies","",Open,4,20,0
13116,AAS,9710,001,IND,"12","Robert Vinson","TBA","TBA","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,8,20,0
20719,ACCT,3010,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,18,26,0
20796,ACCT,3020,701,Lecture,"3","Rich Lahijani, -","Mo 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,17,26,0
20909,ACCT,3140,701,Lecture,"3","Derek Henrichs, -","We 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,4,26,0
20723,ACCT,4450,701,Lecture,"3","Harvey Hutchinson, -","We 6:30pm - 9:30pm","Web-Based Course","Federal Taxation I","",Open,1,26,0
