ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10142,PSYC,4350,001,Lecture,"3","Meghan Puglia","MoTuWeThFrSa 9:30am - 3:00pm","Contact Department","RM: Research Methods in Developmental Cognitive Neuroscience","",Closed,12,12,0
10115,PSYC,4500,001,SEM,"3","Tobias Grossmann","MoTuWeThFrSa 9:00am - 2:30pm","New Cabell Hall 303","Special Topics in Psychology","Consciousness",Open,14,20,0
10129,PSYC,5326,001,SEM,"3","James Coan","MoTuWeThFrSa 10:00am - 3:30pm","Gilmer Hall 245","The Neuroscience of Social Relationships","",Open,14,17,0
10137,RELB,2100,001,Lecture,"3","Kurtis Schaeffer","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Buddhism","",Open,26,30,0
10124,SLAV,2360,001,Lecture,"3","Stanley Stepanic","MoTuWeThFrSa 10:00am - 3:30pm","Wilson Hall 402","Dracula","",Open,68,100,0
10111,SOC,3056,001,Lecture,"3","Ian Mullins","MoTuWeThFrSa 9:00am - 2:30pm","New Cabell Hall 411","Culture and Power","",Closed,10,10,0
10135,SOC,3260,001,Lecture,"3","Joseph Davis","MoTuWeThFrSa 10:00am - 3:30pm","New Cabell Hall 383","Prozac Culture","",Open,19,30,0
10117,SPAN,2010,001,Lecture,"3","Patricio Arriagada Soto","MoTuWeThFrSa 10:00am - 3:30pm","New Cabell Hall 407","Intermediate Spanish","",Open,12,15,0
10109,STAT,1601,001,Lecture,"3","Richard Ross","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Introduction to Data Science with R","",Open,22,35,0
10133,STAT,1601,002,Lecture,"3","Kristen Roland","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Introduction to Data Science with R","",Open,30,40,0
10138,STAT,3220,001,Lecture,"3","Krista Varanyak","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Introduction to Regression Analysis","",Open,24,60,0
10121,STS,2500,001,Lecture,"3","Benjamin Laugelli","MoTuWeThFrSa 9:30am - 3:00pm","Thornton Hall A120","Science and Technology in Social and Global Context","The LEGO Course: Engineering Design and Values",Open,26,35,0
10107,WGS,3897,001,Lecture,"3","Lisa Speidel","MoTuWeThFrSa 10:00am - 3:30pm","New Cabell Hall 485","Gender Violence and Social Justice","",Open,16,30,0
