Class Number,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,Enrollment Limit,Waitlist
21220,,,065,IND,1 - 12,Matheus Xavier Ferreira,TBA,TBA,,,Permission,1,30,
21232,,,067,IND,1 - 12,Jing Yang,TBA,TBA,,,Permission,1,30,
,,,15916,001,,0 / 30,Aaron Bloomfield,TBA,,,IND (1 - 6),,,
15916,,,001,IND,1 - 6,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
15916,,,001,IND,1 - 6,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
16894,,,002,IND,1 - 6,Shangtong Zhang,TBA,TBA,,,Permission,2,30,
16750,,,003,IND,1 - 6,Tom Fletcher,TBA,TBA,,,Permission,0,30,
15917,,,004,IND,1 - 6,Jack Davidson,TBA,TBA,,,Permission,0,30,
15918,,,005,IND,1 - 6,David Evans,TBA,TBA,,,Permission,0,30,
16906,,,006,IND,1 - 6,Wajih Ul Hassan,TBA,TBA,,,Permission,0,30,
17186,,,007,IND,1 - 6,Chen-Yu Wei,TBA,TBA,,,Permission,1,30,
15919,,,008,IND,1 - 6,Tom Horton,TBA,TBA,,,Permission,0,30,
17119,,,009,IND,1 - 6,Adwait Jog,TBA,TBA,,,Permission,0,30,
16234,,,010,IND,1 - 6,Brad Campbell,TBA,TBA,,,Permission,1,30,
16098,,,011,IND,1 - 6,Mark Floryan,TBA,TBA,,,Permission,1,30,
15920,,,012,IND,1 - 6,Worthy Martin,TBA,TBA,,,Permission,0,30,
16014,,,013,IND,1 - 6,Yanjun Qi,TBA,TBA,,,Permission,0,30,
17187,,,014,IND,1 - 6,Yen-Ling Kuo,TBA,TBA,,,Permission,1,30,
15921,,,015,IND,1 - 6,Mark Sherriff,TBA,TBA,,,Permission,0,30,
15922,,,016,IND,1 - 6,Kevin Skadron,TBA,TBA,,,Permission,4,30,
17126,,,017,IND,1 - 6,Yen-Ling Kuo,TBA,TBA,,,Permission,0,30,
16011,,,018,IND,1 - 6,Mohammad Mahmoody,TBA,TBA,,,Permission,0,30,
17182,,,019,IND,1 - 6,Chang Lou,TBA,TBA,,,Permission,0,30,
15923,,,020,IND,1 - 6,Kevin Sullivan,TBA,TBA,,,Permission,0,30,
17183,,,021,IND,1 - 6,Ferdinando Fioretto,TBA,TBA,,,Permission,0,30,
16230,,,022,IND,1 - 6,Madhur Behl,TBA,TBA,,,Permission,0,30,
17184,,,023,IND,1 - 6,Wei-Kai Lin,TBA,TBA,,,Permission,1,30,
16396,,,024,IND,1 - 6,Aidong Zhang,TBA,TBA,,,Permission,1,30,
16123,,,025,IND,1 - 6,Samira Khan,TBA,TBA,,,Permission,0,30,
16171,,,026,IND,1 - 6,Kai-wei Chang,TBA,TBA,,,Permission,0,30,
16172,,,027,IND,1 - 6,Haiying Shen,TBA,TBA,,,Permission,0,30,
17185,,,028,IND,1 - 6,Hyojoon Kim,TBA,TBA,,,Permission,0,30,
16173,,,029,IND,1 - 6,Charles Reiss,TBA,TBA,,,Permission,0,30,
16489,,,030,IND,1 - 6,Seongkook Heo,TBA,TBA,,,Permission,2,30,
16189,,,032,IND,1 - 6,Mary Smith,TBA,TBA,,,Permission,0,30,
16511,,,033,IND,1 - 6,Homa Alemzadeh,TBA,TBA,,,Permission,0,30,
16739,,,034,IND,1 - 6,Afsaneh Doryab,TBA,TBA,,,Permission,1,30,
16211,,,035,IND,1 - 6,Lu Feng,TBA,TBA,,,Permission,0,30,
16340,,,036,IND,1 - 6,Rich Nguyen,TBA,TBA,,,Permission,0,30,
16252,,,037,IND,1 - 6,Farzad Hassanzadeh,TBA,TBA,,,Permission,0,30,
16341,,,038,IND,1 - 6,Raymond Pettit,TBA,TBA,,,Permission,0,30,
16334,,,039,IND,1 - 6,Matthew Dwyer,TBA,TBA,,,Permission,1,30,
16335,,,040,IND,1 - 6,Sebastian Elbaum,TBA,TBA,,,Permission,0,30,
16336,,,041,IND,1 - 6,Yangfeng Ji,TBA,TBA,,,Permission,1,30,
16339,,,042,IND,1 - 6,Robbie Hott,TBA,TBA,,,Permission,0,30,
16337,,,043,IND,1 - 6,Ashish Venkat,TBA,TBA,,,Permission,0,30,
16338,,,044,IND,1 - 6,Daniel Graham,TBA,TBA,,,Permission,1,30,
21007,,,045,IND,1 - 6,Yixin Sun,TBA,TBA,,,Permission,2,30,
21063,,,046,IND,1 - 6,Yu Meng,TBA,TBA,,,Permission,1,30,
21146,,,047,IND,1 - 6,Yue Cheng,TBA,TBA,,,Permission,2,30,
21183,,,048,IND,1 - 6,Kun Qian,TBA,TBA,,,Permission,1,30,
21211,,,049,IND,1 - 6,Zezhou Cheng,TBA,TBA,,,Permission,0,30,
21212,,,050,IND,1 - 6,Wenxi Wang,TBA,TBA,,,Permission,0,30,
21213,,,051,IND,1 - 6,Rohan Chandra,TBA,TBA,,,Permission,1,30,
21214,,,052,IND,1 - 6,Chen Chen,TBA,TBA,,,Permission,0,30,
21215,,,053,IND,1 - 6,Matheus Xavier Ferreira,TBA,TBA,,,Permission,0,30,
21216,,,054,IND,1 - 6,Henry Kautz,TBA,TBA,,,Permission,0,30,
,,,15778,001,,8 / 30,Kevin Skadron,TBA,,,IND (1 - 12),,,
15778,,,001,IND,1 - 12,Kevin Skadron,TBA,TBA,,,Permission,8,30,
15778,,,001,IND,1 - 12,Kevin Skadron,TBA,TBA,,,Permission,8,30,
16874,,,002,IND,1 - 12,Shangtong Zhang,TBA,TBA,,,Permission,3,30,
15775,,,003,IND,1 - 12,Jack Davidson,TBA,TBA,,,Permission,0,30,
15900,,,004,IND,1 - 12,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
16881,,,005,IND,1 - 12,Yue Cheng,TBA,TBA,,,Permission,2,30,
16748,,,006,IND,1 - 12,Tom Fletcher,TBA,TBA,,,Permission,2,30,
16624,,,007,IND,1 - 12,Yixin Sun,TBA,TBA,,,Permission,3,30,
15776,,,008,IND,1 - 12,David Evans,TBA,TBA,,,Permission,2,30,
16859,,,009,IND,1 - 12,Tariq Iqbal,TBA,TBA,,,Permission,0,30,
16616,,,010,IND,1 - 12,Miaomiao Zhang,TBA,TBA,,,Permission,2,30,
17083,,,011,IND,1 - 12,Adwait Jog,TBA,TBA,,,Permission,1,30,
16015,,,012,IND,1 - 12,Yanjun Qi,TBA,TBA,,,Permission,0,30,
16611,,,013,IND,1 - 12,Jundong Li,TBA,TBA,,,Permission,1,30,
16124,,,014,IND,1 - 12,Samira Khan,TBA,TBA,,,Permission,1,30,
16235,,,015,IND,1 - 12,Brad Campbell,TBA,TBA,,,Permission,4,30,
15777,,,016,IND,1 - 12,Worthy Martin,TBA,TBA,,,Permission,0,30,
16012,,,017,IND,1 - 12,Mohammad Mahmoody,TBA,TBA,,,Permission,0,30,
17138,,,018,IND,1 - 12,Geoffrey Fox,TBA,TBA,,,Permission,2,30,
16231,,,019,IND,1 - 12,Madhur Behl,TBA,TBA,,,Permission,3,30,
16492,,,020,IND,1 - 12,Seongkook Heo,TBA,TBA,,,Permission,3,30,
16491,,,021,IND,1 - 12,Haifeng Xu,TBA,TBA,,,Permission,0,30,
16175,,,022,IND,1 - 12,Kai-wei Chang,TBA,TBA,,,Permission,0,30,
15779,,,023,IND,1 - 12,Kevin Sullivan,TBA,TBA,,,Permission,0,30,
17176,,,024,IND,1 - 12,Chang Lou,TBA,TBA,,,Permission,0,30,
15901,,,025,IND,1 - 12,Tom Horton,TBA,TBA,,,Permission,0,30,
16176,,,026,IND,1 - 12,Haiying Shen,TBA,TBA,,,Permission,8,30,
15902,,,027,IND,1 - 12,Mark Sherriff,TBA,TBA,,,Permission,0,30,
17177,,,028,IND,1 - 12,Ferdinando Fioretto,TBA,TBA,,,Permission,3,30,
16177,,,029,IND,1 - 12,Charles Reiss,TBA,TBA,,,Permission,0,30,
17178,,,030,IND,1 - 12,Wei-Kai Lin,TBA,TBA,,,Permission,0,30,
16212,,,032,IND,1 - 12,Lu Feng,TBA,TBA,,,Permission,2,30,
17179,,,033,IND,1 - 12,Hyojoon Kim,TBA,TBA,,,Permission,0,30,
16253,,,034,IND,1 - 12,Farzad Hassanzadeh,TBA,TBA,,,Permission,1,30,
17180,,,035,IND,1 - 12,Chen-Yu Wei,TBA,TBA,,,Permission,0,30,
16342,,,036,IND,1 - 12,Matthew Dwyer,TBA,TBA,,,Permission,3,30,
16343,,,037,IND,1 - 12,Sebastian Elbaum,TBA,TBA,,,Permission,3,30,
16344,,,038,IND,1 - 12,Yangfeng Ji,TBA,TBA,,,Permission,3,30,
16345,,,039,IND,1 - 12,Yonghwi Kwon,TBA,TBA,,,Permission,0,30,
16360,,,040,IND,1 - 12,Ashish Venkat,TBA,TBA,,,Permission,1,30,
16397,,,041,IND,1 - 12,Aidong Zhang,TBA,TBA,,,Permission,3,30,
16411,,,042,IND,1 - 12,Anil Vullikanti,TBA,TBA,,,Permission,1,30,
16412,,,043,IND,1 - 12,Madhav Marathe,TBA,TBA,,,Permission,6,30,
16828,,,044,IND,1 - 12,John Stankovic,TBA,TBA,,,Permission,0,30,
16849,,,045,IND,1 - 12,Sandhya Dwarkadas,TBA,TBA,,,Permission,0,30,
17181,,,046,IND,1 - 12,Yen-Ling Kuo,TBA,TBA,,,Permission,2,30,
20678,,,047,IND,1 - 12,Afsaneh Doryab,TBA,TBA,,,Permission,2,30,
21167,,,048,IND,1 - 12,Yu Meng,TBA,TBA,,,Permission,1,30,
21191,,,049,IND,1 - 12,Judy Fox,TBA,TBA,,,Permission,1,30,
21201,,,050,IND,1 - 12,Zezhou Cheng,TBA,TBA,,,Permission,0,30,
21222,,,051,IND,1 - 12,Wenxi Wang,TBA,TBA,,,Permission,0,30,
21223,,,052,IND,1 - 12,Rohan Chandra,TBA,TBA,,,Permission,0,30,
21224,,,053,IND,1 - 12,Chen Chen,TBA,TBA,,,Permission,0,30,
21225,,,054,IND,1 - 12,Matheus Xavier Ferreira,TBA,TBA,,,Permission,0,30,
21226,,,055,IND,1 - 12,Henry Kautz,TBA,TBA,,,Permission,0,30,
21233,,,056,IND,1 - 12,Jing Yang,TBA,TBA,,,Permission,0,30,
