Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
12527,040,IND(1 - 12),Open,1 / 30,Zezhou Cheng
12528,041,IND(1 - 12),Open,1 / 30,Kun Qian
,10172,001,IND(1 - 12),Open,0 / 30
10172,001,IND(1 - 12),Open,0 / 30,Jack Davidson
10172,001,IND(1 - 12),Open,0 / 30,Jack Davidson
10173,002,IND(1 - 12),Open,0 / 30,David Evans
10175,003,IND(1 - 12),Open,0 / 30,Yanjun Qi
10216,004,IND(1 - 12),Open,0 / 30,Brad Campbell
10178,005,IND(1 - 12),Open,1 / 30,Kevin Skadron
10230,006,IND(1 - 12),Open,0 / 30,Aidong Zhang
10180,007,IND(1 - 12),Open,0 / 30,Kevin Sullivan
10202,008,IND(1 - 12),Open,1 / 30,Haiying Shen
10643,009,IND(1 - 12),Permission,0 / 30,Ferdinando Fioretto
10191,010,IND(1 - 12),Open,0 / 30,Mohammad Mahmoody
10207,011,IND(1 - 12),Open,0 / 30,Samira Khan
10217,012,IND(1 - 12),Open,0 / 30,Lu Feng
10656,013,IND(1 - 12),Open,0 / 30,Yu Meng
10228,014,IND(1 - 12),Open,0 / 30,Madhav Marathe
10236,015,IND(1 - 12),Open,0 / 30,Madhur Behl
10238,016,IND(1 - 12),Open,1 / 30,Ashish Venkat
10240,017,IND(1 - 12),Open,0 / 30,Sebastian Elbaum
10241,018,IND(1 - 12),Open,0 / 30,Matthew Dwyer
10244,019,IND(1 - 12),Open,0 / 30,Yangfeng Ji
10249,020,IND(1 - 12),Open,0 / 30,Seongkook Heo
10252,021,IND(1 - 12),Open,0 / 30,Jundong Li
10254,022,IND(1 - 12),Open,0 / 30,Anil Vullikanti
10256,023,IND(1 - 12),Open,0 / 30,Farzad Hassanzadeh
10258,024,IND(1 - 12),Open,0 / 30,Haifeng Xu
10265,025,IND(1 - 12),Open,0 / 30,Miaomiao Zhang
10523,026,IND(1 - 12),Open,0 / 30,Yixin Sun
10549,027,IND(1 - 12),Open,0 / 30,Felix Lin
10569,028,IND(1 - 12),Open,0 / 30,Afsaneh Doryab
10571,029,IND(1 - 12),Open,0 / 30,Geoffrey Fox
10582,030,IND(1 - 12),Open,0 / 30,Shangtong Zhang
10592,031,IND(1 - 12),Open,0 / 30,Yue Cheng
10600,032,IND(1 - 12),Open,0 / 30,Adwait Jog
10621,033,IND(1 - 12),Open,0 / 30,Tom Fletcher
10642,034,IND(1 - 12),Permission,0 / 30,Judy Fox
